# (E [MeV])  (Flux [1/MeV/cm^2/s]
8.986100E-01  4.892933E+06
9.003500E-01  4.898011E+06
9.020800E-01  4.903036E+06
9.038200E-01  4.908009E+06
9.055500E-01  4.912929E+06
9.072900E-01  4.917796E+06
9.090200E-01  4.922557E+06
9.107600E-01  4.927318E+06
9.124900E-01  4.932026E+06
9.142300E-01  4.936681E+06
9.159600E-01  4.941283E+06
9.177000E-01  4.945780E+06
9.194300E-01  4.950276E+06
9.211700E-01  4.954720E+06
9.229000E-01  4.959110E+06
9.246300E-01  4.963395E+06
9.263700E-01  4.967680E+06
9.281000E-01  4.971859E+06
9.298400E-01  4.976038E+06
9.315700E-01  4.980165E+06
9.333100E-01  4.984185E+06
9.350400E-01  4.988206E+06
9.367800E-01  4.992173E+06
9.385100E-01  4.996035E+06
9.402500E-01  4.999896E+06
9.419800E-01  5.003652E+06
9.437200E-01  5.007355E+06
9.454500E-01  5.011005E+06
9.471900E-01  5.014603E+06
9.489200E-01  5.018200E+06
9.506600E-01  5.021691E+06
9.523900E-01  5.025130E+06
9.541300E-01  5.028515E+06
9.558600E-01  5.031848E+06
9.576000E-01  5.035128E+06
9.593300E-01  5.038355E+06
9.610600E-01  5.041529E+06
9.628000E-01  5.044597E+06
9.645300E-01  5.047665E+06
9.662700E-01  5.050680E+06
9.680000E-01  5.053643E+06
9.697400E-01  5.056499E+06
9.714700E-01  5.059356E+06
9.732100E-01  5.062054E+06
9.749400E-01  5.064805E+06
9.766800E-01  5.067397E+06
9.784100E-01  5.070042E+06
9.801500E-01  5.072581E+06
9.818800E-01  5.075120E+06
9.836200E-01  5.077501E+06
9.853500E-01  5.079881E+06
9.870900E-01  5.082209E+06
9.888200E-01  5.084484E+06
9.905600E-01  5.086652E+06
9.922900E-01  5.088821E+06
9.940200E-01  5.090884E+06
9.957600E-01  5.092895E+06
9.974900E-01  5.094852E+06
9.992300E-01  5.096809E+06
1.001000E+00  5.098661E+06
1.002700E+00  5.100459E+06
1.004400E+00  5.102205E+06
1.006200E+00  5.103898E+06
1.007900E+00  5.105485E+06
1.009600E+00  5.107072E+06
1.011400E+00  5.108553E+06
1.013100E+00  5.109981E+06
1.014800E+00  5.111357E+06
1.016600E+00  5.112679E+06
1.018300E+00  5.114002E+06
1.020000E+00  5.115218E+06
1.021800E+00  5.116382E+06
1.023500E+00  5.117493E+06
1.025300E+00  5.118498E+06
1.027000E+00  5.119503E+06
1.028700E+00  5.120403E+06
1.030500E+00  5.121302E+06
1.032200E+00  5.122042E+06
1.033900E+00  5.122783E+06
1.035700E+00  5.123524E+06
1.037400E+00  5.124158E+06
1.039100E+00  5.124740E+06
1.040900E+00  5.125269E+06
1.042600E+00  5.125693E+06
1.044300E+00  5.126063E+06
1.046100E+00  5.126380E+06
1.047800E+00  5.126698E+06
1.049500E+00  5.126909E+06
1.051300E+00  5.127068E+06
1.053000E+00  5.127121E+06
1.054700E+00  5.127174E+06
1.056500E+00  5.127121E+06
1.058200E+00  5.127068E+06
1.059900E+00  5.126909E+06
1.061700E+00  5.126751E+06
1.063400E+00  5.126486E+06
1.065100E+00  5.126169E+06
1.066900E+00  5.125746E+06
1.068600E+00  5.125375E+06
1.070400E+00  5.124846E+06
1.072100E+00  5.124264E+06
1.073800E+00  5.123630E+06
1.075600E+00  5.122995E+06
1.077300E+00  5.122201E+06
1.079000E+00  5.121461E+06
1.080800E+00  5.120561E+06
1.082500E+00  5.119662E+06
1.084200E+00  5.118657E+06
1.086000E+00  5.117652E+06
1.087700E+00  5.116541E+06
1.089400E+00  5.115377E+06
1.091200E+00  5.114160E+06
1.092900E+00  5.112891E+06
