# (E [MeV])  (Flux [1/MeV/cm^2/s]
5.835900E+00  5.538439E+02
5.854700E+00  5.558549E+02
5.873500E+00  5.578579E+02
5.892200E+00  5.598608E+02
5.911000E+00  5.618479E+02
5.929800E+00  5.638349E+02
5.948500E+00  5.658219E+02
5.967300E+00  5.678009E+02
5.986000E+00  5.697640E+02
6.004800E+00  5.717271E+02
6.023600E+00  5.736822E+02
6.042300E+00  5.756213E+02
6.061100E+00  5.775685E+02
6.079900E+00  5.794996E+02
6.098600E+00  5.814308E+02
6.117400E+00  5.833460E+02
6.136200E+00  5.852612E+02
6.154900E+00  5.871684E+02
6.173700E+00  5.890676E+02
6.192500E+00  5.909589E+02
6.211200E+00  5.928422E+02
6.230000E+00  5.947095E+02
6.248800E+00  5.965848E+02
6.267500E+00  5.984441E+02
6.286300E+00  6.002955E+02
6.305100E+00  6.021469E+02
6.323800E+00  6.039902E+02
6.342600E+00  6.058177E+02
6.361300E+00  6.076451E+02
6.380100E+00  6.094565E+02
6.398900E+00  6.112600E+02
6.417600E+00  6.130715E+02
6.436400E+00  6.148670E+02
6.455200E+00  6.166465E+02
6.473900E+00  6.184261E+02
6.492700E+00  6.201976E+02
6.511500E+00  6.219532E+02
6.530200E+00  6.237088E+02
6.549000E+00  6.254564E+02
6.567800E+00  6.271961E+02
6.586500E+00  6.289198E+02
6.605300E+00  6.306355E+02
6.624100E+00  6.323512E+02
6.642800E+00  6.340589E+02
6.661600E+00  6.357586E+02
6.680400E+00  6.374424E+02
6.699100E+00  6.391182E+02
6.717900E+00  6.407860E+02
6.736600E+00  6.424459E+02
6.755400E+00  6.441057E+02
6.774200E+00  6.457496E+02
6.792900E+00  6.473855E+02
6.811700E+00  6.490134E+02
6.830500E+00  6.506333E+02
6.849200E+00  6.522453E+02
6.868000E+00  6.538493E+02
6.886800E+00  6.554453E+02
6.905500E+00  6.570253E+02
6.924300E+00  6.585974E+02
6.943100E+00  6.601615E+02
6.961800E+00  6.617176E+02
6.980600E+00  6.632657E+02
6.999400E+00  6.648058E+02
7.018100E+00  6.663380E+02
7.036900E+00  6.678542E+02
7.055700E+00  6.693624E+02
7.074400E+00  6.708626E+02
7.093200E+00  6.723549E+02
7.111900E+00  6.738392E+02
7.130700E+00  6.753155E+02
7.149500E+00  6.767838E+02
7.168200E+00  6.782362E+02
7.187000E+00  6.796805E+02
7.205800E+00  6.811090E+02
7.224500E+00  6.825374E+02
7.243300E+00  6.839578E+02
7.262100E+00  6.853623E+02
7.280800E+00  6.867588E+02
7.299600E+00  6.881473E+02
7.318400E+00  6.895279E+02
7.337100E+00  6.908924E+02
7.355900E+00  6.922570E+02
7.374700E+00  6.936056E+02
7.393400E+00  6.949383E+02
7.412200E+00  6.962710E+02
7.431000E+00  6.975956E+02
7.449700E+00  6.989044E+02
7.468500E+00  7.002051E+02
7.487200E+00  7.014899E+02
7.506000E+00  7.027667E+02
7.524800E+00  7.040355E+02
7.543500E+00  7.052963E+02
7.562300E+00  7.065492E+02
7.581100E+00  7.077941E+02
7.599800E+00  7.090150E+02
7.618600E+00  7.102360E+02
7.637400E+00  7.114489E+02
7.656100E+00  7.126459E+02
7.674900E+00  7.138349E+02
7.693700E+00  7.150080E+02
7.712400E+00  7.161731E+02
7.731200E+00  7.173382E+02
7.750000E+00  7.184793E+02
7.768700E+00  7.196125E+02
7.787500E+00  7.207456E+02
7.806300E+00  7.218628E+02
7.825000E+00  7.229641E+02
7.843800E+00  7.240573E+02
7.862500E+00  7.251426E+02
7.881300E+00  7.262119E+02
7.900100E+00  7.272733E+02
7.918800E+00  7.283346E+02
7.937600E+00  7.293720E+02
7.956400E+00  7.304014E+02
7.975100E+00  7.314229E+02
7.993900E+00  7.324283E+02
8.012700E+00  7.334258E+02
8.031400E+00  7.344154E+02
8.050200E+00  7.353969E+02
8.069000E+00  7.363625E+02
8.087700E+00  7.373121E+02
8.106500E+00  7.382617E+02
8.125300E+00  7.391954E+02
8.144000E+00  7.401131E+02
8.162800E+00  7.410308E+02
8.181600E+00  7.419245E+02
8.200300E+00  7.428183E+02
8.219100E+00  7.436961E+02
8.237800E+00  7.445659E+02
8.256600E+00  7.454198E+02
8.275400E+00  7.462736E+02
8.294100E+00  7.471036E+02
8.312900E+00  7.479255E+02
8.331700E+00  7.487395E+02
8.350400E+00  7.495454E+02
8.369200E+00  7.503355E+02
8.388000E+00  7.511095E+02
8.406700E+00  7.518756E+02
8.425500E+00  7.526337E+02
8.444300E+00  7.533758E+02
8.463000E+00  7.541100E+02
8.481800E+00  7.548362E+02
8.500600E+00  7.555464E+02
8.519300E+00  7.562486E+02
8.538100E+00  7.569349E+02
8.556900E+00  7.576132E+02
8.575600E+00  7.582835E+02
8.594400E+00  7.589379E+02
8.613100E+00  7.595843E+02
8.631900E+00  7.602147E+02
8.650700E+00  7.608371E+02
8.669400E+00  7.614436E+02
8.688200E+00  7.620421E+02
8.707000E+00  7.626247E+02
8.725700E+00  7.631992E+02
8.744500E+00  7.637658E+02
8.763300E+00  7.643164E+02
8.782000E+00  7.648591E+02
8.800800E+00  7.653857E+02
8.819600E+00  7.659044E+02
8.838300E+00  7.664072E+02
8.857100E+00  7.669019E+02
8.875900E+00  7.673887E+02
8.894600E+00  7.678595E+02
8.913400E+00  7.683224E+02
8.932100E+00  7.687693E+02
8.950900E+00  7.692082E+02
8.969700E+00  7.696311E+02
8.988400E+00  7.700461E+02
9.007200E+00  7.704451E+02
9.026000E+00  7.708361E+02
9.044700E+00  7.712111E+02
9.063500E+00  7.715782E+02
9.082300E+00  7.719373E+02
9.101000E+00  7.722805E+02
9.119800E+00  7.726156E+02
9.138600E+00  7.729348E+02
9.157300E+00  7.732381E+02
9.176100E+00  7.735413E+02
9.194900E+00  7.738286E+02
9.213600E+00  7.740999E+02
9.232400E+00  7.743632E+02
9.251200E+00  7.746106E+02
9.269900E+00  7.748500E+02
9.288700E+00  7.750735E+02
9.307400E+00  7.752889E+02
9.326200E+00  7.754964E+02
9.345000E+00  7.756879E+02
9.363700E+00  7.758635E+02
9.382500E+00  7.760390E+02
9.401300E+00  7.761907E+02
9.420000E+00  7.763343E+02
9.438800E+00  7.764700E+02
9.457600E+00  7.765897E+02
9.476300E+00  7.766934E+02
9.495100E+00  7.767971E+02
9.513900E+00  7.768849E+02
9.532600E+00  7.769567E+02
9.551400E+00  7.770126E+02
9.570200E+00  7.770685E+02
9.588900E+00  7.771084E+02
9.607700E+00  7.771323E+02
9.626500E+00  7.771403E+02
9.645200E+00  7.771483E+02
9.664000E+00  7.771403E+02
9.682700E+00  7.771243E+02
9.701500E+00  7.770924E+02
9.720300E+00  7.770445E+02
9.739000E+00  7.769887E+02
9.757800E+00  7.769248E+02
9.776600E+00  7.768450E+02
9.795300E+00  7.767493E+02
9.814100E+00  7.766455E+02
9.832900E+00  7.765338E+02
9.851600E+00  7.764061E+02
9.870400E+00  7.762625E+02
9.889200E+00  7.761188E+02
