# (E [MeV])  (Flux [1/MeV/cm^2/s]
3.802800E-01  2.119639E+08
3.814600E-01  2.128729E+08
3.826500E-01  2.137820E+08
3.838400E-01  2.146911E+08
3.850300E-01  2.155946E+08
3.862200E-01  2.165008E+08
3.874100E-01  2.174043E+08
3.885900E-01  2.183106E+08
3.897800E-01  2.192141E+08
3.909700E-01  2.201148E+08
3.921600E-01  2.210156E+08
3.933500E-01  2.219135E+08
3.945300E-01  2.228142E+08
3.957200E-01  2.237122E+08
3.969100E-01  2.246073E+08
3.981000E-01  2.255025E+08
3.992900E-01  2.263976E+08
4.004800E-01  2.272900E+08
4.016600E-01  2.281852E+08
4.028500E-01  2.290776E+08
4.040400E-01  2.299672E+08
4.052300E-01  2.308568E+08
4.064200E-01  2.317491E+08
4.076000E-01  2.326387E+08
4.087900E-01  2.335256E+08
4.099800E-01  2.344096E+08
4.111700E-01  2.352964E+08
4.123600E-01  2.361805E+08
4.135500E-01  2.370673E+08
4.147300E-01  2.379458E+08
4.159200E-01  2.388242E+08
4.171100E-01  2.397027E+08
4.183000E-01  2.405812E+08
4.194900E-01  2.414569E+08
4.206700E-01  2.423298E+08
4.218600E-01  2.432027E+08
4.230500E-01  2.440757E+08
4.242400E-01  2.449458E+08
4.254300E-01  2.458187E+08
4.266200E-01  2.466861E+08
4.278000E-01  2.475534E+08
4.289900E-01  2.484180E+08
4.301800E-01  2.492854E+08
4.313700E-01  2.501527E+08
4.325600E-01  2.510118E+08
4.337400E-01  2.518680E+08
4.349300E-01  2.527270E+08
4.361200E-01  2.535860E+08
4.373100E-01  2.544423E+08
4.385000E-01  2.552957E+08
4.396900E-01  2.561492E+08
4.408700E-01  2.569999E+08
4.420600E-01  2.578533E+08
4.432500E-01  2.587040E+08
4.444400E-01  2.595491E+08
4.456300E-01  2.603915E+08
4.468100E-01  2.612338E+08
4.480000E-01  2.620762E+08
4.491900E-01  2.629185E+08
4.503800E-01  2.637581E+08
4.515700E-01  2.645921E+08
4.527600E-01  2.654288E+08
4.539400E-01  2.662628E+08
4.551300E-01  2.670996E+08
4.563200E-01  2.679281E+08
4.575100E-01  2.687537E+08
4.587000E-01  2.695794E+08
4.598800E-01  2.704023E+08
4.610700E-01  2.712279E+08
4.622600E-01  2.720508E+08
4.634500E-01  2.728681E+08
4.646400E-01  2.736854E+08
4.658300E-01  2.745028E+08
4.670100E-01  2.753201E+08
4.682000E-01  2.761318E+08
4.693900E-01  2.769380E+08
4.705800E-01  2.777470E+08
4.717700E-01  2.785560E+08
4.729500E-01  2.793622E+08
4.741400E-01  2.801684E+08
4.753300E-01  2.809746E+08
4.765200E-01  2.817530E+08
4.777100E-01  2.825592E+08
4.789000E-01  2.833654E+08
4.800800E-01  2.841716E+08
4.812700E-01  2.849500E+08
4.824600E-01  2.857284E+08
4.836500E-01  2.865068E+08
4.848400E-01  2.873130E+08
4.860300E-01  2.880914E+08
4.872100E-01  2.888698E+08
4.884000E-01  2.896482E+08
4.895900E-01  2.904266E+08
4.907800E-01  2.912050E+08
4.919700E-01  2.919834E+08
4.931500E-01  2.927340E+08
4.943400E-01  2.935124E+08
4.955300E-01  2.942630E+08
4.967200E-01  2.950414E+08
4.979100E-01  2.957920E+08
4.991000E-01  2.965426E+08
5.002800E-01  2.973210E+08
5.014700E-01  2.980716E+08
5.026600E-01  2.988222E+08
5.038500E-01  2.995728E+08
5.050400E-01  3.003234E+08
5.062200E-01  3.010462E+08
5.074100E-01  3.017968E+08
5.086000E-01  3.025196E+08
5.097900E-01  3.032702E+08
5.109800E-01  3.039930E+08
5.121700E-01  3.047158E+08
5.133500E-01  3.054664E+08
5.145400E-01  3.061892E+08
5.157300E-01  3.069120E+08
5.169200E-01  3.076348E+08
5.181100E-01  3.083576E+08
5.192900E-01  3.090804E+08
5.204800E-01  3.098032E+08
5.216700E-01  3.105260E+08
5.228600E-01  3.112488E+08
5.240500E-01  3.119438E+08
5.252400E-01  3.126388E+08
5.264200E-01  3.133616E+08
5.276100E-01  3.140566E+08
5.288000E-01  3.147516E+08
5.299900E-01  3.154466E+08
5.311800E-01  3.161416E+08
5.323600E-01  3.168366E+08
5.335500E-01  3.175316E+08
5.347400E-01  3.181988E+08
5.359300E-01  3.188938E+08
5.371200E-01  3.195610E+08
5.383100E-01  3.202282E+08
5.394900E-01  3.209232E+08
5.406800E-01  3.215904E+08
5.418700E-01  3.222576E+08
5.430600E-01  3.229248E+08
5.442500E-01  3.235920E+08
5.454300E-01  3.242592E+08
5.466200E-01  3.248986E+08
5.478100E-01  3.255658E+08
5.490000E-01  3.262330E+08
5.501900E-01  3.268724E+08
5.513800E-01  3.275396E+08
5.525600E-01  3.281790E+08
5.537500E-01  3.288184E+08
5.549400E-01  3.294578E+08
5.561300E-01  3.300972E+08
5.573200E-01  3.307366E+08
5.585000E-01  3.313482E+08
5.596900E-01  3.319876E+08
5.608800E-01  3.325992E+08
5.620700E-01  3.332108E+08
5.632600E-01  3.338502E+08
5.644500E-01  3.344618E+08
5.656300E-01  3.350734E+08
5.668200E-01  3.356850E+08
5.680100E-01  3.362966E+08
5.692000E-01  3.369082E+08
5.703900E-01  3.374920E+08
5.715700E-01  3.381036E+08
5.727600E-01  3.386874E+08
5.739500E-01  3.392990E+08
5.751400E-01  3.398828E+08
5.763300E-01  3.404666E+08
5.775200E-01  3.410504E+08
5.787000E-01  3.416342E+08
5.798900E-01  3.422180E+08
5.810800E-01  3.427740E+08
5.822700E-01  3.433578E+08
5.834600E-01  3.439138E+08
5.846500E-01  3.444698E+08
5.858300E-01  3.450258E+08
5.870200E-01  3.456096E+08
5.882100E-01  3.461656E+08
5.894000E-01  3.466938E+08
