# (E [MeV])  (Flux shape [1/MeV/cm^2/s]
433.96  0.0003577
434.93  0.00035618
435.9  0.00035465
436.87  0.00035313
437.84  0.0003516
438.81  0.00035007
439.78  0.00034854
440.75  0.00034702
441.72  0.00034549
442.69  0.00034396
443.66  0.00034243
444.63  0.00034091
445.6  0.00033938
446.57  0.00033785
447.54  0.00033633
448.5  0.0003348
449.47  0.00033328
450.44  0.00033175
451.41  0.00033023
452.38  0.0003287
453.35  0.00032718
454.32  0.00032565
455.29  0.00032412
456.26  0.00032259
457.23  0.00032106
458.2  0.00031954
459.17  0.00031801
460.14  0.00031648
461.11  0.00031495
462.08  0.00031343
463.05  0.0003119
464.02  0.00031037
464.99  0.00030884
465.96  0.00030732
466.93  0.00030579
467.9  0.00030426
468.87  0.00030273
469.83  0.00030121
470.8  0.00029996
471.77  0.00029874
472.74  0.00029751
473.71  0.00029629
474.68  0.00029506
475.65  0.00029384
476.62  0.00029261
477.59  0.00029138
478.56  0.00029016
479.53  0.00028908
480.5  0.00028802
481.47  0.00028696
482.44  0.0002859
483.41  0.00028484
484.38  0.00028378
485.35  0.00028272
486.32  0.00028166
487.29  0.0002806
488.26  0.00027954
489.23  0.00027848
490.19  0.00027741
491.16  0.00027635
492.13  0.00027529
493.1  0.00027423
494.07  0.00027317
495.04  0.00027211
496.01  0.00027105
496.98  0.00026999
497.95  0.00026893
498.92  0.00026787
499.89  0.00026681
500.86  0.00026575
501.83  0.00026469
502.8  0.00026363
503.77  0.00026257
504.74  0.00026151
505.71  0.00026045
506.68  0.00025939
507.65  0.00025833
508.62  0.00025727
509.59  0.00025621
510.56  0.00025515
511.52  0.00025409
512.49  0.00025303
513.46  0.00025197
514.43  0.00025091
515.4  0.00024985
516.37  0.00024879
517.34  0.00024773
518.31  0.00024667
519.28  0.00024561
520.25  0.00024455
521.22  0.00024349
522.19  0.00024243
523.16  0.00024137
524.13  0.00024031
525.1  0.00023927
526.07  0.00023831
527.04  0.00023735
528.01  0.00023639
528.98  0.00023543
529.95  0.00023447
530.92  0.0002335
531.89  0.00023254
532.85  0.00023158
533.82  0.00023062
534.79  0.0002297
535.76  0.00022891
536.73  0.00022812
537.7  0.00022733
538.67  0.00022654
539.64  0.00022575
540.61  0.00022497
541.58  0.00022418
542.55  0.00022339
543.52  0.0002226
544.49  0.00022181
545.46  0.00022102
546.43  0.00022023
547.4  0.00021944
548.37  0.00021865
549.34  0.00021787
550.31  0.00021708
551.28  0.00021629
552.25  0.0002155
553.21  0.00021471
554.18  0.00021392
555.15  0.00021313
556.12  0.00021234
557.09  0.00021156
558.06  0.00021077
559.03  0.00020998
560  0.00020919
560.97  0.0002084
561.94  0.00020761
562.91  0.00020682
563.88  0.00020603
564.85  0.00020524
565.82  0.00020445
566.79  0.00020366
567.76  0.00020287
568.73  0.00020208
569.7  0.00020129
570.67  0.0002005
571.64  0.00019971
572.61  0.00019892
573.58  0.00019813
574.54  0.00019734
575.51  0.00019655
576.48  0.00019576
577.45  0.00019497
578.42  0.00019418
579.39  0.0001934
580.36  0.00019261
581.33  0.00019182
582.3  0.00019103
583.27  0.00019024
584.24  0.00018945
585.21  0.00018867
586.18  0.00018788
587.15  0.00018711
588.12  0.00018635
589.09  0.00018558
590.06  0.00018482
591.03  0.00018405
592  0.00018328
592.97  0.00018252
593.94  0.00018175
594.9  0.00018099
595.87  0.00018022
596.84  0.00017945
597.81  0.00017887
598.78  0.00017832
599.75  0.00017778
600.72  0.00017723
601.69  0.00017669
602.66  0.00017615
603.63  0.0001756
604.6  0.00017506
605.57  0.00017451
606.54  0.00017397
607.51  0.00017342
608.48  0.00017288
609.45  0.00017234
610.42  0.00017179
611.39  0.00017125
612.36  0.0001707
613.33  0.00017016
614.3  0.00016962
615.27  0.00016907
616.23  0.00016853
617.2  0.00016798
618.17  0.00016744
619.14  0.0001669
620.11  0.00016635
621.08  0.00016581
622.05  0.00016527
623.02  0.00016472
623.99  0.00016418
624.96  0.00016363
625.93  0.00016309
626.9  0.00016255
627.87  0.000162
628.84  0.00016146
629.81  0.00016092
630.78  0.00016037
631.75  0.00015983
632.72  0.00015928
633.69  0.00015874
634.66  0.0001582
635.63  0.00015765
636.59  0.00015711
637.56  0.00015657
638.53  0.00015602
639.5  0.00015548
640.47  0.00015493
641.44  0.00015439
642.41  0.00015385
643.38  0.0001533
644.35  0.00015276
645.32  0.00015221
646.29  0.00015167
647.26  0.00015112
648.23  0.00015058
649.2  0.00015004
650.17  0.00014949
651.14  0.00014895
652.11  0.0001484
653.08  0.00014786
654.05  0.00014731
655.02  0.00014677
655.99  0.00014623
656.96  0.00014568
657.92  0.00014514
658.89  0.0001446
659.86  0.00014405
660.83  0.00014351
661.8  0.00014297
662.77  0.00014242
663.74  0.00014188
664.71  0.00014134
665.68  0.00014079
666.65  0.00014025
667.62  0.00013983
668.59  0.00013942
669.56  0.00013902
670.53  0.00013862
671.5  0.00013822
672.47  0.00013782
673.44  0.00013742
674.41  0.00013702
675.38  0.00013662
676.35  0.00013622
677.32  0.00013582
678.29  0.00013542
679.25  0.00013502
680.22  0.00013463
681.19  0.00013425
682.16  0.00013386
683.13  0.00013348
684.1  0.0001331
685.07  0.00013271
686.04  0.00013233
687.01  0.00013194
687.98  0.00013156
688.95  0.00013117
689.92  0.00013079
690.89  0.0001304
691.86  0.00013002
692.83  0.00012963
693.8  0.00012925
694.77  0.00012887
695.74  0.00012848
696.71  0.0001281
697.68  0.00012771
698.65  0.00012733
699.61  0.00012694
700.58  0.00012656
701.55  0.00012617
702.52  0.00012579
703.49  0.0001254
704.46  0.00012502
705.43  0.00012464
706.4  0.00012425
707.37  0.00012387
708.34  0.00012348
709.31  0.0001231
710.28  0.00012271
711.25  0.00012233
712.22  0.00012194
713.19  0.00012156
714.16  0.00012117
715.13  0.00012079
716.1  0.0001204
717.07  0.00012002
718.04  0.00011963
719.01  0.00011925
719.98  0.00011886
720.94  0.00011848
721.91  0.0001181
722.88  0.00011771
723.85  0.00011733
724.82  0.00011694
725.79  0.00011656
726.76  0.00011617
727.73  0.00011579
728.7  0.00011541
729.67  0.00011502
730.64  0.00011464
731.61  0.00011425
732.58  0.00011387
733.55  0.00011348
734.52  0.0001131
735.49  0.00011272
736.46  0.00011233
737.43  0.00011195
738.4  0.00011156
739.37  0.00011118
740.34  0.00011079
741.3  0.00011041
742.27  0.00011002
743.24  0.00010964
744.21  0.00010925
745.18  0.0001089
746.15  0.00010858
747.12  0.00010826
748.09  0.00010794
749.06  0.00010761
750.03  0.00010729
751  0.00010697
751.97  0.00010665
752.94  0.00010633
753.91  0.00010601
754.88  0.00010569
755.85  0.00010537
756.82  0.00010504
757.79  0.00010472
758.76  0.00010441
759.73  0.00010413
760.7  0.00010384
761.67  0.00010356
762.63  0.00010328
763.6  0.00010299
764.57  0.00010271
765.54  0.00010243
766.51  0.00010214
767.48  0.00010186
768.45  0.00010158
769.42  0.00010129
770.39  0.00010101
771.36  0.00010073
772.33  0.00010044
773.3  0.00010016
774.27  9.9877e-05
775.24  9.9594e-05
776.21  9.9311e-05
777.18  9.9029e-05
778.15  9.8746e-05
779.12  9.8463e-05
780.09  9.818e-05
781.06  9.7898e-05
782.03  9.7615e-05
783  9.7332e-05
783.96  9.705e-05
784.93  9.6767e-05
785.9  9.6484e-05
786.87  9.6202e-05
787.84  9.5919e-05
788.81  9.5636e-05
789.78  9.5353e-05
790.75  9.507e-05
791.72  9.4787e-05
792.69  9.4505e-05
793.66  9.4222e-05
794.63  9.3939e-05
795.6  9.3656e-05
796.57  9.3373e-05
797.54  9.309e-05
798.51  9.2807e-05
799.48  9.2525e-05
800.45  9.2242e-05
801.42  9.1959e-05
802.39  9.1676e-05
803.36  9.1393e-05
804.32  9.111e-05
805.29  9.0827e-05
806.26  9.0544e-05
807.23  9.0261e-05
808.2  8.9979e-05
809.17  8.9696e-05
810.14  8.9413e-05
811.11  8.913e-05
812.08  8.8847e-05
813.05  8.8564e-05
814.02  8.8281e-05
814.99  8.7998e-05
815.96  8.7715e-05
816.93  8.7432e-05
817.9  8.7149e-05
818.87  8.6866e-05
819.84  8.6583e-05
820.81  8.63e-05
821.78  8.6018e-05
822.75  8.5735e-05
823.72  8.5452e-05
824.69  8.5169e-05
825.65  8.4886e-05
826.62  8.4603e-05
827.59  8.432e-05
828.56  8.4037e-05
829.53  8.3754e-05
830.5  8.3471e-05
831.47  8.3188e-05
832.44  8.2931e-05
833.41  8.2686e-05
834.38  8.2441e-05
835.35  8.2195e-05
836.32  8.195e-05
837.29  8.1704e-05
838.26  8.1459e-05
839.23  8.1213e-05
840.2  8.0968e-05
841.17  8.0722e-05
842.14  8.0477e-05
843.11  8.0231e-05
844.08  7.9986e-05
845.05  7.974e-05
846.01  7.9495e-05
846.98  7.9249e-05
847.95  7.9045e-05
848.92  7.8855e-05
849.89  7.8664e-05
850.86  7.8474e-05
851.83  7.8284e-05
852.8  7.8094e-05
853.77  7.7903e-05
854.74  7.7713e-05
855.71  7.7523e-05
856.68  7.7332e-05
857.65  7.7142e-05
858.62  7.6952e-05
859.59  7.6762e-05
860.56  7.6571e-05
861.53  7.6381e-05
862.5  7.6191e-05
863.47  7.6e-05
864.44  7.581e-05
865.41  7.562e-05
866.38  7.5429e-05
867.34  7.5239e-05
868.31  7.5049e-05
869.28  7.4858e-05
870.25  7.4668e-05
871.22  7.4478e-05
872.19  7.4287e-05
873.16  7.4097e-05
874.13  7.3907e-05
875.1  7.3716e-05
876.07  7.3526e-05
877.04  7.3336e-05
878.01  7.3145e-05
878.98  7.2955e-05
879.95  7.2765e-05
880.92  7.2574e-05
881.89  7.2384e-05
882.86  7.2194e-05
883.83  7.2003e-05
884.8  7.1813e-05
885.77  7.1623e-05
886.74  7.1432e-05
887.7  7.1242e-05
888.67  7.1052e-05
889.64  7.0861e-05
890.61  7.0671e-05
891.58  7.0481e-05
892.55  7.029e-05
893.52  7.01e-05
894.49  6.9909e-05
895.46  6.9719e-05
896.43  6.9529e-05
897.4  6.9339e-05
898.37  6.9148e-05
899.34  6.8958e-05
900.31  6.8768e-05
901.28  6.8578e-05
902.25  6.8387e-05
903.22  6.8197e-05
904.19  6.8007e-05
905.16  6.7817e-05
906.13  6.7627e-05
907.1  6.7436e-05
908.07  6.7246e-05
909.03  6.7056e-05
910  6.6866e-05
910.97  6.6675e-05
911.94  6.6485e-05
912.91  6.6295e-05
913.88  6.6105e-05
914.85  6.5914e-05
915.82  6.5724e-05
916.79  6.5534e-05
917.76  6.5344e-05
918.73  6.5153e-05
919.7  6.4963e-05
920.67  6.4773e-05
921.64  6.4583e-05
922.61  6.4392e-05
923.58  6.4202e-05
924.55  6.4012e-05
925.52  6.3822e-05
926.49  6.3631e-05
927.46  6.3441e-05
928.43  6.3251e-05
929.4  6.3012e-05
930.36  6.2712e-05
931.33  6.2411e-05
932.3  6.211e-05
933.27  6.181e-05
934.24  6.1509e-05
935.21  6.1208e-05
936.18  6.0908e-05
937.15  6.0607e-05
938.12  6.0307e-05
939.09  6.0006e-05
940.06  5.9705e-05
941.03  5.9405e-05
942  5.9104e-05
942.97  5.8803e-05
943.94  5.8503e-05
944.91  5.8202e-05
945.88  5.7902e-05
946.85  5.7137e-05
947.82  5.6094e-05
948.79  5.5052e-05
949.76  5.401e-05
950.72  5.2968e-05
951.69  5.1925e-05
952.66  5.0883e-05
953.63  4.9841e-05
954.6  4.8798e-05
955.57  4.7756e-05
956.54  4.6714e-05
957.51  4.5672e-05
958.48  4.4629e-05
959.45  4.3587e-05
960.42  4.2545e-05
961.39  4.1502e-05
962.36  4.046e-05
963.33  3.9418e-05
964.3  3.8376e-05
965.27  3.7334e-05
966.24  3.6292e-05
967.21  3.525e-05
968.18  3.4207e-05
969.15  3.3165e-05
970.12  3.2123e-05
971.09  3.1081e-05
972.05  3.0039e-05
973.02  2.8997e-05
973.99  2.7955e-05
974.96  2.6913e-05
975.93  2.5871e-05
976.9  2.4829e-05
977.87  2.3787e-05
978.84  2.2745e-05
979.81  2.1703e-05
980.78  2.0661e-05
981.75  1.9619e-05
