# (E [MeV])  (Flux [1/MeV/cm^2/s]
4.835000E-01  9.824625E+07
4.852300E-01  9.874440E+07
4.869600E-01  9.924460E+07
4.886800E-01  9.974275E+07
4.904100E-01  1.002388E+08
4.921400E-01  1.007370E+08
4.938600E-01  1.012352E+08
4.955900E-01  1.017333E+08
4.973200E-01  1.022294E+08
4.990400E-01  1.027255E+08
5.007700E-01  1.032216E+08
5.025000E-01  1.037198E+08
5.042300E-01  1.042158E+08
5.059500E-01  1.047120E+08
5.076800E-01  1.052040E+08
5.094100E-01  1.056980E+08
5.111300E-01  1.061920E+08
5.128600E-01  1.066861E+08
5.145900E-01  1.071802E+08
5.163100E-01  1.076722E+08
5.180400E-01  1.081662E+08
5.197700E-01  1.086582E+08
5.214900E-01  1.091522E+08
5.232200E-01  1.096443E+08
5.249500E-01  1.101342E+08
5.266700E-01  1.106242E+08
5.284000E-01  1.111141E+08
5.301300E-01  1.116040E+08
5.318500E-01  1.120920E+08
5.335800E-01  1.125819E+08
5.353100E-01  1.130698E+08
5.370300E-01  1.135577E+08
5.387600E-01  1.140456E+08
5.404900E-01  1.145335E+08
5.422100E-01  1.150173E+08
5.439400E-01  1.155011E+08
5.456700E-01  1.159870E+08
5.473900E-01  1.164708E+08
5.491200E-01  1.169545E+08
5.508500E-01  1.174363E+08
5.525700E-01  1.179201E+08
5.543000E-01  1.184018E+08
5.560300E-01  1.188836E+08
5.577500E-01  1.193653E+08
5.594800E-01  1.198450E+08
5.612100E-01  1.203227E+08
5.629400E-01  1.208024E+08
5.646600E-01  1.212800E+08
5.663900E-01  1.217577E+08
5.681200E-01  1.222333E+08
5.698400E-01  1.227089E+08
5.715700E-01  1.231845E+08
5.733000E-01  1.236601E+08
5.750200E-01  1.241336E+08
5.767500E-01  1.246052E+08
5.784800E-01  1.250766E+08
5.802000E-01  1.255482E+08
5.819300E-01  1.260196E+08
5.836600E-01  1.264891E+08
5.853800E-01  1.269565E+08
5.871100E-01  1.274260E+08
5.888400E-01  1.278934E+08
5.905600E-01  1.283608E+08
5.922900E-01  1.288261E+08
5.940200E-01  1.292894E+08
5.957400E-01  1.297527E+08
5.974700E-01  1.302160E+08
5.992000E-01  1.306793E+08
6.009200E-01  1.311406E+08
6.026500E-01  1.315998E+08
6.043800E-01  1.320590E+08
6.061000E-01  1.325202E+08
6.078300E-01  1.329774E+08
6.095600E-01  1.334345E+08
6.112800E-01  1.338896E+08
6.130100E-01  1.343447E+08
6.147400E-01  1.347978E+08
6.164600E-01  1.352508E+08
6.181900E-01  1.357018E+08
6.199200E-01  1.361528E+08
6.216500E-01  1.366038E+08
6.233700E-01  1.370528E+08
6.251000E-01  1.374996E+08
6.268300E-01  1.379466E+08
6.285500E-01  1.383934E+08
6.302800E-01  1.388362E+08
6.320100E-01  1.392811E+08
6.337300E-01  1.397260E+08
6.354600E-01  1.401646E+08
6.371900E-01  1.406054E+08
6.389100E-01  1.410441E+08
6.406400E-01  1.414848E+08
6.423700E-01  1.419215E+08
6.440900E-01  1.423582E+08
6.458200E-01  1.427928E+08
6.475500E-01  1.432274E+08
6.492700E-01  1.436599E+08
6.510000E-01  1.440924E+08
6.527300E-01  1.445209E+08
6.544500E-01  1.449494E+08
