# Er [keV]  dR/dEr 12C [1/keV/kg/Myr]  13C
2.986E-01  4.720E+07  6.300E+05
3.055E-01  4.632E+07  6.046E+05
3.126E-01  4.532E+07  6.269E+05
3.199E-01  4.393E+07  5.654E+05
3.274E-01  4.315E+07  5.688E+05
3.350E-01  4.214E+07  5.443E+05
3.428E-01  4.117E+07  5.328E+05
3.508E-01  4.023E+07  5.427E+05
3.589E-01  3.932E+07  5.457E+05
3.673E-01  3.842E+07  5.177E+05
3.759E-01  3.751E+07  5.020E+05
3.846E-01  3.685E+07  4.821E+05
3.936E-01  3.592E+07  4.641E+05
4.027E-01  3.489E+07  4.876E+05
4.121E-01  3.416E+07  4.612E+05
4.217E-01  3.344E+07  4.385E+05
4.315E-01  3.288E+07  4.159E+05
4.416E-01  3.209E+07  4.178E+05
4.519E-01  3.137E+07  4.186E+05
4.624E-01  3.050E+07  4.005E+05
4.732E-01  2.990E+07  3.797E+05
4.842E-01  2.909E+07  3.821E+05
4.955E-01  2.846E+07  3.736E+05
5.070E-01  2.788E+07  3.682E+05
5.188E-01  2.710E+07  3.585E+05
5.309E-01  2.664E+07  3.381E+05
5.433E-01  2.600E+07  3.435E+05
5.559E-01  2.546E+07  3.513E+05
5.689E-01  2.494E+07  3.280E+05
5.821E-01  2.424E+07  3.221E+05
5.957E-01  2.373E+07  3.235E+05
6.096E-01  2.306E+07  3.012E+05
6.238E-01  2.255E+07  3.072E+05
6.383E-01  2.213E+07  2.959E+05
6.532E-01  2.162E+07  2.907E+05
6.684E-01  2.113E+07  2.823E+05
6.840E-01  2.060E+07  2.763E+05
6.999E-01  2.016E+07  2.704E+05
7.162E-01  1.971E+07  2.713E+05
7.329E-01  1.917E+07  2.522E+05
7.499E-01  1.877E+07  2.422E+05
7.674E-01  1.843E+07  2.323E+05
7.853E-01  1.795E+07  2.442E+05
8.036E-01  1.756E+07  2.275E+05
8.223E-01  1.710E+07  2.260E+05
8.415E-01  1.679E+07  2.286E+05
8.611E-01  1.636E+07  2.121E+05
8.811E-01  1.601E+07  2.118E+05
9.016E-01  1.568E+07  2.088E+05
9.226E-01  1.529E+07  2.043E+05
9.441E-01  1.489E+07  1.991E+05
9.661E-01  1.454E+07  1.931E+05
9.886E-01  1.430E+07  1.836E+05
1.012E+00  1.390E+07  1.904E+05
1.035E+00  1.358E+07  1.761E+05
1.059E+00  1.325E+07  1.775E+05
1.084E+00  1.298E+07  1.773E+05
1.109E+00  1.272E+07  1.666E+05
1.135E+00  1.243E+07  1.710E+05
1.162E+00  1.212E+07  1.618E+05
1.189E+00  1.180E+07  1.580E+05
1.216E+00  1.162E+07  1.569E+05
1.245E+00  1.130E+07  1.524E+05
1.274E+00  1.105E+07  1.478E+05
1.303E+00  1.083E+07  1.452E+05
1.334E+00  1.053E+07  1.338E+05
1.365E+00  1.036E+07  1.378E+05
1.396E+00  1.007E+07  1.359E+05
1.429E+00  9.842E+06  1.282E+05
1.462E+00  9.599E+06  1.296E+05
1.496E+00  9.395E+06  1.240E+05
1.531E+00  9.191E+06  1.206E+05
1.567E+00  8.980E+06  1.209E+05
1.603E+00  8.792E+06  1.170E+05
1.641E+00  8.559E+06  1.122E+05
1.679E+00  8.368E+06  1.108E+05
1.718E+00  8.151E+06  1.109E+05
1.758E+00  7.967E+06  1.039E+05
1.799E+00  7.817E+06  1.020E+05
1.841E+00  7.688E+06  1.046E+05
1.884E+00  7.446E+06  1.016E+05
1.928E+00  7.317E+06  9.726E+04
1.973E+00  7.085E+06  9.570E+04
2.019E+00  6.942E+06  9.435E+04
2.066E+00  6.780E+06  9.087E+04
2.114E+00  6.671E+06  8.870E+04
2.163E+00  6.493E+06  8.618E+04
2.213E+00  6.336E+06  8.471E+04
2.265E+00  6.187E+06  8.422E+04
2.318E+00  6.064E+06  8.171E+04
2.372E+00  5.903E+06  7.927E+04
2.427E+00  5.787E+06  7.424E+04
2.483E+00  5.644E+06  7.538E+04
2.541E+00  5.533E+06  7.448E+04
2.600E+00  5.375E+06  7.168E+04
2.661E+00  5.262E+06  7.131E+04
2.723E+00  5.117E+06  6.846E+04
2.786E+00  5.006E+06  6.612E+04
2.851E+00  4.916E+06  6.434E+04
2.918E+00  4.806E+06  6.616E+04
2.986E+00  4.686E+06  6.356E+04
3.055E+00  4.571E+06  6.166E+04
3.126E+00  4.482E+06  6.231E+04
3.199E+00  4.348E+06  5.811E+04
3.274E+00  4.268E+06  5.573E+04
3.350E+00  4.156E+06  5.523E+04
3.428E+00  4.082E+06  5.593E+04
3.508E+00  3.986E+06  5.373E+04
3.589E+00  3.884E+06  5.322E+04
3.673E+00  3.804E+06  5.142E+04
3.759E+00  3.713E+06  4.917E+04
3.846E+00  3.630E+06  4.803E+04
3.936E+00  3.533E+06  4.816E+04
4.027E+00  3.474E+06  4.648E+04
4.121E+00  3.395E+06  4.523E+04
4.217E+00  3.309E+06  4.682E+04
4.315E+00  3.262E+06  4.237E+04
4.416E+00  3.154E+06  4.272E+04
4.519E+00  3.094E+06  4.247E+04
4.624E+00  3.016E+06  4.172E+04
4.732E+00  2.940E+06  3.937E+04
4.842E+00  2.885E+06  3.921E+04
4.955E+00  2.822E+06  3.672E+04
5.070E+00  2.744E+06  3.745E+04
5.188E+00  2.682E+06  3.619E+04
5.309E+00  2.622E+06  3.343E+04
5.433E+00  2.553E+06  3.549E+04
5.559E+00  2.508E+06  3.356E+04
5.689E+00  2.453E+06  3.198E+04
5.821E+00  2.386E+06  3.093E+04
5.957E+00  2.325E+06  3.001E+04
6.096E+00  2.279E+06  3.045E+04
6.238E+00  2.229E+06  2.882E+04
6.383E+00  2.181E+06  2.861E+04
6.532E+00  2.107E+06  2.783E+04
6.684E+00  2.072E+06  2.793E+04
6.840E+00  2.021E+06  2.769E+04
6.999E+00  1.985E+06  2.603E+04
7.162E+00  1.926E+06  2.627E+04
7.329E+00  1.882E+06  2.537E+04
7.499E+00  1.841E+06  2.501E+04
7.674E+00  1.802E+06  2.495E+04
7.853E+00  1.766E+06  2.219E+04
8.036E+00  1.717E+06  2.240E+04
8.223E+00  1.676E+06  2.210E+04
8.415E+00  1.647E+06  2.238E+04
8.611E+00  1.607E+06  2.137E+04
8.811E+00  1.555E+06  1.999E+04
9.016E+00  1.524E+06  2.024E+04
9.226E+00  1.492E+06  2.002E+04
9.441E+00  1.453E+06  1.945E+04
9.661E+00  1.426E+06  1.947E+04
9.886E+00  1.391E+06  1.840E+04
1.012E+01  1.362E+06  1.859E+04
1.035E+01  1.330E+06  1.795E+04
1.059E+01  1.289E+06  1.722E+04
1.084E+01  1.257E+06  1.705E+04
1.109E+01  1.229E+06  1.636E+04
1.135E+01  1.206E+06  1.659E+04
1.162E+01  1.177E+06  1.606E+04
1.189E+01  1.145E+06  1.537E+04
1.216E+01  1.117E+06  1.450E+04
1.245E+01  1.095E+06  1.444E+04
1.274E+01  1.065E+06  1.460E+04
1.303E+01  1.044E+06  1.383E+04
1.334E+01  1.017E+06  1.296E+04
1.365E+01  9.874E+05  1.266E+04
1.396E+01  9.722E+05  1.252E+04
1.429E+01  9.466E+05  1.257E+04
1.462E+01  9.209E+05  1.227E+04
1.496E+01  8.990E+05  1.214E+04
1.531E+01  8.772E+05  1.180E+04
1.567E+01  8.630E+05  1.153E+04
1.603E+01  8.400E+05  1.126E+04
1.641E+01  8.184E+05  1.108E+04
1.679E+01  7.971E+05  1.054E+04
1.718E+01  7.818E+05  1.109E+04
1.758E+01  7.638E+05  1.021E+04
1.799E+01  7.488E+05  1.031E+04
1.841E+01  7.241E+05  9.862E+03
1.884E+01  7.097E+05  9.559E+03
1.928E+01  6.929E+05  9.336E+03
1.973E+01  6.777E+05  9.054E+03
2.019E+01  6.629E+05  8.745E+03
2.066E+01  6.491E+05  8.761E+03
2.114E+01  6.285E+05  7.949E+03
2.163E+01  6.131E+05  7.777E+03
2.213E+01  6.003E+05  8.083E+03
2.265E+01  5.880E+05  7.615E+03
2.318E+01  5.716E+05  7.433E+03
2.372E+01  5.578E+05  7.447E+03
2.427E+01  5.421E+05  7.339E+03
2.483E+01  5.310E+05  7.247E+03
2.541E+01  5.176E+05  6.721E+03
2.600E+01  5.043E+05  6.465E+03
2.661E+01  4.908E+05  6.548E+03
2.723E+01  4.834E+05  6.374E+03
2.786E+01  4.688E+05  6.261E+03
2.851E+01  4.563E+05  6.156E+03
2.918E+01  4.456E+05  5.843E+03
2.986E+01  4.375E+05  5.684E+03
3.055E+01  4.253E+05  5.428E+03
3.126E+01  4.131E+05  5.596E+03
3.199E+01  4.057E+05  5.308E+03
3.274E+01  3.946E+05  5.286E+03
3.350E+01  3.829E+05  4.942E+03
3.428E+01  3.748E+05  4.795E+03
3.508E+01  3.641E+05  4.750E+03
3.589E+01  3.571E+05  4.708E+03
