# Er [keV]  dR/dEr O16 [1/keV/kg/Myr]  S32  S34  Ca40  Ca44
9.226326E-03  7.958332E+07  3.604867E+06  0.000000E+00  9.465040E+06  2.988960E+05
9.441234E-03  7.769655E+07  3.447574E+06  0.000000E+00  9.789517E+06  3.584769E+05
9.661149E-03  7.653345E+07  3.442621E+06  0.000000E+00  9.134191E+06  3.546419E+05
9.886186E-03  7.546334E+07  3.292408E+06  0.000000E+00  9.120688E+06  2.535872E+05
1.011646E-02  7.280802E+07  3.209203E+06  0.000000E+00  9.127849E+06  3.552014E+05
1.035211E-02  7.165927E+07  3.168442E+06  0.000000E+00  8.350965E+06  2.663913E+05
1.059324E-02  6.958239E+07  2.981934E+06  0.000000E+00  8.472478E+06  2.918824E+05
1.083999E-02  6.787130E+07  3.083658E+06  0.000000E+00  8.634241E+06  2.698200E+05
1.109248E-02  6.622089E+07  3.036066E+06  0.000000E+00  7.932947E+06  3.051133E+05
1.135086E-02  6.489389E+07  2.900697E+06  0.000000E+00  8.234593E+06  2.503140E+05
1.161526E-02  6.444196E+07  2.813085E+06  0.000000E+00  8.011178E+06  2.805891E+05
1.188581E-02  6.248995E+07  2.812329E+06  0.000000E+00  7.688205E+06  3.023254E+05
1.216267E-02  6.116026E+07  2.830762E+06  0.000000E+00  7.413574E+06  3.194914E+05
1.244597E-02  5.936858E+07  2.702539E+06  0.000000E+00  7.483181E+06  3.290048E+05
1.273587E-02  5.793189E+07  2.614776E+06  0.000000E+00  7.257070E+06  2.460580E+05
1.303253E-02  5.702358E+07  2.645027E+06  0.000000E+00  7.011726E+06  2.372509E+05
1.333610E-02  5.479503E+07  2.559754E+06  0.000000E+00  7.005642E+06  2.631816E+05
1.364674E-02  5.436218E+07  2.522919E+06  0.000000E+00  6.778815E+06  2.969942E+05
1.396461E-02  5.296616E+07  2.390688E+06  0.000000E+00  6.597581E+06  2.214154E+05
1.428989E-02  5.167863E+07  2.353813E+06  0.000000E+00  6.374302E+06  2.777792E+05
1.462274E-02  5.078231E+07  2.303092E+06  0.000000E+00  6.452085E+06  1.885906E+05
1.496335E-02  4.900925E+07  2.175272E+06  0.000000E+00  6.299633E+06  1.870902E+05
1.531189E-02  4.865773E+07  2.213080E+06  0.000000E+00  6.036168E+06  2.374080E+05
1.566855E-02  4.763548E+07  2.056035E+06  0.000000E+00  5.893434E+06  2.506710E+05
1.603352E-02  4.715576E+07  2.176019E+06  0.000000E+00  5.965158E+06  2.397530E+05
1.640699E-02  4.534637E+07  2.062819E+06  0.000000E+00  5.495758E+06  2.113753E+05
1.678915E-02  4.405782E+07  2.075593E+06  0.000000E+00  5.624509E+06  2.538495E+05
1.718022E-02  4.245422E+07  2.162111E+06  0.000000E+00  5.411357E+06  1.824053E+05
1.758040E-02  4.252647E+07  1.956032E+06  0.000000E+00  5.202618E+06  1.711231E+05
1.798990E-02  4.150271E+07  1.923121E+06  0.000000E+00  5.425615E+06  2.043896E+05
1.840894E-02  3.984983E+07  1.774937E+06  0.000000E+00  5.013856E+06  1.838490E+05
1.883774E-02  3.957267E+07  1.754497E+06  0.000000E+00  4.917472E+06  1.818821E+05
1.927653E-02  3.850065E+07  1.786090E+06  0.000000E+00  4.998451E+06  2.167585E+05
1.972553E-02  3.726628E+07  1.777207E+06  0.000000E+00  5.035068E+06  1.546319E+05
2.018500E-02  3.701210E+07  1.749173E+06  0.000000E+00  4.595462E+06  1.635322E+05
2.065517E-02  3.583582E+07  1.719472E+06  0.000000E+00  4.555589E+06  1.618327E+05
2.113629E-02  3.510312E+07  1.601258E+06  0.000000E+00  4.562595E+06  1.759406E+05
2.162862E-02  3.420942E+07  1.559013E+06  0.000000E+00  4.634538E+06  1.757995E+05
2.213241E-02  3.314753E+07  1.582050E+06  0.000000E+00  4.243972E+06  1.585826E+05
2.264794E-02  3.207568E+07  1.566332E+06  0.000000E+00  4.217474E+06  1.697321E+05
2.317548E-02  3.185757E+07  1.590174E+06  0.000000E+00  4.229647E+06  1.857006E+05
2.371531E-02  3.127336E+07  1.520502E+06  0.000000E+00  4.219701E+06  1.462360E+05
2.426771E-02  3.056665E+07  1.463508E+06  0.000000E+00  4.001403E+06  1.515161E+05
2.483298E-02  2.976151E+07  1.411686E+06  0.000000E+00  4.036514E+06  1.211459E+05
2.541141E-02  2.920079E+07  1.427236E+06  0.000000E+00  3.852551E+06  1.381196E+05
2.600332E-02  2.852646E+07  1.340115E+06  0.000000E+00  3.798601E+06  1.430099E+05
2.660901E-02  2.784729E+07  1.333165E+06  0.000000E+00  3.768664E+06  1.428952E+05
2.722882E-02  2.724870E+07  1.264455E+06  0.000000E+00  3.555512E+06  1.289008E+05
2.786306E-02  2.694936E+07  1.285159E+06  0.000000E+00  3.455084E+06  1.319650E+05
2.851207E-02  2.601644E+07  1.191425E+06  0.000000E+00  3.473158E+06  1.143065E+05
2.917620E-02  2.534690E+07  1.135663E+06  0.000000E+00  3.345407E+06  1.260256E+05
2.985580E-02  2.485671E+07  1.225971E+06  0.000000E+00  3.319639E+06  1.063628E+05
