# Er [keV]  dR/dEr H1 [1/keV/decay]  C12  C13  O16  Na23
2.065517E-02  1.931518E+07  2.222858E+06  2.333482E+04  1.580718E+06  4.597824E+05
2.113629E-02  1.875390E+07  2.081889E+06  2.533740E+04  1.558250E+06  4.569177E+05
2.162862E-02  1.832783E+07  2.074117E+06  2.558600E+04  1.487290E+06  4.481677E+05
2.213241E-02  1.813890E+07  2.026904E+06  2.581016E+04  1.480051E+06  4.347399E+05
2.264794E-02  1.750373E+07  2.015447E+06  2.601086E+04  1.447938E+06  4.138091E+05
2.317548E-02  1.714997E+07  1.965719E+06  3.158091E+04  1.426533E+06  4.244166E+05
2.371531E-02  1.706671E+07  1.914199E+06  2.709837E+04  1.391803E+06  4.094865E+05
2.426771E-02  1.647299E+07  1.897844E+06  2.574594E+04  1.371155E+06  4.001655E+05
2.483298E-02  1.625545E+07  1.778445E+06  2.659760E+04  1.324848E+06  3.759607E+05
2.541141E-02  1.560022E+07  1.754822E+06  2.318220E+04  1.272914E+06  3.919900E+05
2.600332E-02  1.536044E+07  1.727235E+06  1.853551E+04  1.291994E+06  3.803212E+05
2.660901E-02  1.495042E+07  1.689260E+06  2.415145E+04  1.202206E+06  3.817271E+05
2.722882E-02  1.464158E+07  1.679654E+06  1.704567E+04  1.180740E+06  3.284570E+05
2.786306E-02  1.419617E+07  1.590166E+06  1.793902E+04  1.216009E+06  3.478889E+05
2.851207E-02  1.422239E+07  1.629727E+06  1.878287E+04  1.149512E+06  3.412222E+05
2.917620E-02  1.372917E+07  1.559590E+06  1.896717E+04  1.133135E+06  3.432445E+05
2.985580E-02  1.354760E+07  1.531265E+06  1.614375E+04  1.142619E+06  3.354313E+05
3.055124E-02  1.300082E+07  1.527962E+06  2.103503E+04  1.069865E+06  3.540898E+05
3.126287E-02  1.288133E+07  1.424660E+06  1.655918E+04  1.098616E+06  3.277575E+05
3.199107E-02  1.254905E+07  1.450822E+06  1.618224E+04  1.077514E+06  3.018825E+05
3.273624E-02  1.220832E+07  1.399257E+06  2.235757E+04  1.029539E+06  3.010092E+05
3.349876E-02  1.197892E+07  1.368471E+06  2.238154E+04  9.767945E+05  2.936245E+05
3.427905E-02  1.170625E+07  1.352423E+06  2.187208E+04  1.002470E+06  2.952730E+05
3.507751E-02  1.132935E+07  1.305862E+06  1.882966E+04  9.521701E+05  3.022924E+05
3.589457E-02  1.118485E+07  1.276137E+06  1.293046E+04  9.568543E+05  2.879515E+05
3.673066E-02  1.086318E+07  1.271389E+06  1.506615E+04  9.282695E+05  2.809109E+05
3.758623E-02  1.052187E+07  1.221076E+06  1.614803E+04  8.971658E+05  2.616931E+05
3.846173E-02  1.040443E+07  1.190032E+06  1.392394E+04  8.734949E+05  2.766222E+05
