# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Mg24  Mg25  Mg26  P31  Fe54  Fe56  Fe57
5.309196E-03  3.840262E+06  2.372495E+05  1.745857E+04  0.000000E+00  9.352806E+02  7.482245E+03  0.000000E+00  0.000000E+00  0.000000E+00
5.432863E-03  3.782095E+06  2.297164E+05  1.340520E+04  6.093273E+02  1.218655E+03  8.835247E+03  0.000000E+00  0.000000E+00  0.000000E+00
5.559411E-03  3.827898E+06  2.128760E+05  1.607735E+04  8.931860E+02  1.190915E+03  9.825046E+03  0.000000E+00  0.000000E+00  0.000000E+00
5.688906E-03  3.834160E+06  2.225779E+05  1.396567E+04  5.819031E+02  1.454758E+03  1.105616E+04  0.000000E+00  0.000000E+00  0.000000E+00
5.821418E-03  3.733804E+06  2.041480E+05  1.535375E+04  5.686574E+02  1.137315E+03  8.529860E+03  2.843287E+02  2.843287E+02  0.000000E+00
5.957016E-03  3.793020E+06  2.072810E+05  1.472640E+04  5.557131E+02  8.335697E+02  9.169267E+03  0.000000E+00  2.778566E+02  0.000000E+00
6.095773E-03  3.840002E+06  1.887146E+05  1.058974E+04  2.715318E+02  2.443786E+03  6.788295E+03  0.000000E+00  0.000000E+00  0.000000E+00
6.237762E-03  3.797172E+06  1.830922E+05  1.114474E+04  0.000000E+00  1.326755E+03  9.021933E+03  0.000000E+00  2.653510E+02  0.000000E+00
6.383058E-03  3.836763E+06  1.981135E+05  1.400279E+04  5.186217E+02  5.186217E+02  7.779325E+03  0.000000E+00  2.593108E+02  0.000000E+00
6.531738E-03  3.760831E+06  1.854948E+05  1.697835E+04  2.534082E+02  1.773857E+03  7.855654E+03  0.000000E+00  5.068164E+02  0.000000E+00
6.683882E-03  3.776509E+06  1.805295E+05  1.312492E+04  4.952799E+02  4.952799E+02  1.040088E+04  0.000000E+00  0.000000E+00  0.000000E+00
6.839570E-03  3.769922E+06  1.795662E+05  9.438115E+03  4.840059E+02  7.260089E+02  8.470103E+03  0.000000E+00  0.000000E+00  0.000000E+00
6.998884E-03  3.813944E+06  1.906144E+05  1.324368E+04  1.182471E+03  1.182471E+03  6.148852E+03  0.000000E+00  2.364943E+02  0.000000E+00
7.161909E-03  3.800621E+06  1.663999E+05  9.475552E+03  4.622221E+02  4.622221E+02  6.471109E+03  0.000000E+00  2.311110E+02  0.000000E+00
7.328731E-03  3.818451E+06  1.689360E+05  9.937413E+03  1.129252E+03  9.034012E+02  6.323808E+03  0.000000E+00  2.258503E+02  0.000000E+00
7.499439E-03  3.808781E+06  1.686219E+05  1.191830E+04  6.621280E+02  8.828373E+02  6.179861E+03  0.000000E+00  0.000000E+00  0.000000E+00
7.674123E-03  3.822592E+06  1.621954E+05  1.229407E+04  2.156854E+02  0.000000E+00  6.470561E+03  0.000000E+00  0.000000E+00  0.000000E+00
7.852877E-03  3.796072E+06  1.639835E+05  1.011724E+04  2.107758E+02  1.053879E+03  6.323273E+03  0.000000E+00  0.000000E+00  0.000000E+00
8.035794E-03  3.786904E+06  1.606628E+05  1.071085E+04  8.239117E+02  2.059779E+02  8.033139E+03  0.000000E+00  4.119558E+02  0.000000E+00
8.222971E-03  3.803361E+06  1.483502E+05  9.259307E+03  4.025786E+02  0.000000E+00  6.843836E+03  0.000000E+00  0.000000E+00  0.000000E+00
8.414509E-03  3.773044E+06  1.449733E+05  1.101561E+04  5.901222E+02  1.573659E+03  5.901222E+03  0.000000E+00  0.000000E+00  0.000000E+00
8.610508E-03  3.816530E+06  1.505159E+05  1.018818E+04  5.766893E+02  5.766893E+02  5.574664E+03  0.000000E+00  0.000000E+00  0.000000E+00
8.811073E-03  3.812499E+06  1.493440E+05  7.889872E+03  1.878541E+02  5.635623E+02  6.199185E+03  0.000000E+00  0.000000E+00  0.000000E+00
9.016309E-03  3.757108E+06  1.497997E+05  8.628167E+03  3.671560E+02  1.468624E+03  6.608809E+03  0.000000E+00  0.000000E+00  0.000000E+00
9.226326E-03  3.800035E+06  1.449546E+05  7.893568E+03  3.587985E+02  1.793993E+02  6.996572E+03  0.000000E+00  1.793993E+02  0.000000E+00
9.441234E-03  3.739658E+06  1.358696E+05  8.941098E+03  1.753156E+02  1.051894E+03  8.064520E+03  0.000000E+00  0.000000E+00  0.000000E+00
9.661149E-03  3.804614E+06  1.240393E+05  1.027950E+04  3.426499E+02  1.027950E+03  6.510349E+03  0.000000E+00  0.000000E+00  0.000000E+00
9.886186E-03  3.782469E+06  1.264060E+05  8.873532E+03  5.022754E+02  1.674251E+02  4.520479E+03  0.000000E+00  0.000000E+00  0.000000E+00
1.011646E-02  3.743327E+06  1.194383E+05  6.544563E+03  1.308913E+03  1.145299E+03  5.562879E+03  0.000000E+00  0.000000E+00  0.000000E+00
