# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  B10  B11  O16  Sr86  Sr87  Sr88
2.065517E-02  2.201383E+07  2.573213E+05  2.113993E+06  3.544106E+06  3.562910E+04  3.562910E+04  3.840025E+05
2.113629E-02  2.139281E+07  2.350220E+05  2.014613E+06  3.434417E+06  4.545694E+04  4.255543E+04  3.501151E+05
2.162862E-02  2.111945E+07  2.221111E+05  1.955522E+06  3.359075E+06  4.347706E+04  4.253190E+04  3.582132E+05
2.213241E-02  2.081698E+07  2.152079E+05  1.960886E+06  3.257675E+06  3.879284E+04  2.401462E+04  3.685320E+05
2.264794E-02  2.011657E+07  2.103092E+05  1.901809E+06  3.261146E+06  4.513073E+04  3.429935E+04  3.628510E+05
2.317548E-02  1.973275E+07  2.072861E+05  1.908796E+06  3.163098E+06  2.910826E+04  3.175447E+04  3.351860E+05
2.371531E-02  1.913877E+07  2.223935E+05  1.858451E+06  3.075581E+06  3.878956E+04  3.620359E+04  3.422101E+05
2.426771E-02  1.856244E+07  2.080651E+05  1.859108E+06  2.949133E+06  4.043371E+04  2.948291E+04  3.352628E+05
2.483298E-02  1.817037E+07  2.033290E+05  1.713890E+06  2.944566E+06  3.210458E+04  3.457416E+04  3.523271E+05
2.541141E-02  1.791363E+07  1.874383E+05  1.685335E+06  2.932242E+06  2.976487E+04  3.378715E+04  3.402849E+05
2.600332E-02  1.760335E+07  1.815994E+05  1.724801E+06  2.825403E+06  3.380421E+04  3.773493E+04  3.301806E+05
2.660901E-02  1.709816E+07  1.751609E+05  1.589508E+06  2.764930E+06  3.918073E+04  2.612049E+04  3.065316E+05
2.722882E-02  1.669019E+07  1.516539E+05  1.591616E+06  2.750041E+06  3.378429E+04  3.303353E+04  3.070617E+05
2.786306E-02  1.625085E+07  1.804835E+05  1.531908E+06  2.570789E+06  2.274385E+04  2.934691E+04  2.949364E+05
2.851207E-02  1.597342E+07  1.713564E+05  1.524283E+06  2.614081E+06  2.724494E+04  2.294311E+04  2.681476E+05
2.917620E-02  1.564696E+07  1.737617E+05  1.507102E+06  2.523748E+06  2.662477E+04  2.732543E+04  2.928725E+05
2.985580E-02  1.533393E+07  1.554276E+05  1.500185E+06  2.523816E+06  3.697397E+04  2.327991E+04  2.868906E+05
3.055124E-02  1.482563E+07  1.625955E+05  1.453992E+06  2.436926E+06  3.011028E+04  3.011028E+04  2.997646E+05
3.126287E-02  1.452086E+07  1.595483E+05  1.405856E+06  2.444227E+06  4.119484E+04  2.615546E+04  2.556696E+05
3.199107E-02  1.412195E+07  1.629455E+05  1.368743E+06  2.340665E+06  3.258911E+04  2.683809E+04  2.702979E+05
3.273624E-02  1.404403E+07  1.548653E+05  1.291376E+06  2.328599E+06  2.622718E+04  2.622718E+04  2.841278E+05
3.349876E-02  1.359376E+07  1.403557E+05  1.312021E+06  2.273763E+06  2.563018E+04  3.112236E+04  2.526403E+05
3.427905E-02  1.337139E+07  1.383535E+05  1.239218E+06  2.215446E+06  2.802852E+04  2.743217E+04  2.564311E+05
3.507751E-02  1.288578E+07  1.474426E+05  1.224414E+06  2.163851E+06  3.030440E+04  2.097997E+04  2.669118E+05
3.589457E-02  1.243813E+07  1.332656E+05  1.225019E+06  2.086689E+06  2.619752E+04  2.790605E+04  2.471679E+05
3.673066E-02  1.236871E+07  1.319018E+05  1.193238E+06  2.126012E+06  2.337500E+04  2.114881E+04  2.476637E+05
3.758623E-02  1.203713E+07  1.250922E+05  1.223728E+06  2.024318E+06  2.393068E+04  2.284292E+04  2.545354E+05
3.846173E-02  1.196138E+07  1.286227E+05  1.137939E+06  1.988869E+06  2.710644E+04  2.338595E+04  2.577769E+05
3.935762E-02  1.152861E+07  1.262143E+05  1.087105E+06  1.934767E+06  1.765962E+04  2.389242E+04  2.420406E+05
4.027437E-02  1.129512E+07  1.192807E+05  1.093322E+06  1.893264E+06  2.639403E+04  2.588645E+04  2.685085E+05
4.121248E-02  1.105141E+07  1.240059E+05  1.063971E+06  1.795605E+06  2.777732E+04  2.331311E+04  2.286669E+05
