# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  12C  13C
1.109E-01  1.124E+06  4.411E+04  8.881E+02
1.135E-01  1.103E+06  4.262E+04  3.857E+02
1.162E-01  1.067E+06  4.095E+04  5.183E+02
1.189E-01  1.047E+06  4.006E+04  5.065E+02
1.216E-01  1.027E+06  4.293E+04  2.250E+02
1.245E-01  1.003E+06  3.755E+04  7.915E+02
1.274E-01  9.842E+05  3.868E+04  5.157E+02
1.303E-01  9.588E+05  3.960E+04  6.299E+02
1.334E-01  9.391E+05  3.780E+04  4.104E+02
1.365E-01  9.150E+05  3.658E+04  4.412E+02
1.396E-01  9.030E+05  3.574E+04  5.095E+02
1.429E-01  8.780E+05  3.512E+04  8.043E+02
1.462E-01  8.613E+05  3.455E+04  2.246E+02
1.496E-01  8.438E+05  3.259E+04  5.486E+02
1.531E-01  8.218E+05  3.410E+04  5.362E+02
1.567E-01  7.994E+05  3.179E+04  3.144E+02
1.603E-01  7.872E+05  3.253E+04  3.072E+02
1.641E-01  7.710E+05  3.312E+04  6.338E+02
1.679E-01  7.470E+05  3.006E+04  4.564E+02
1.718E-01  7.231E+05  2.985E+04  4.460E+02
1.758E-01  7.090E+05  2.802E+04  2.802E+02
1.799E-01  7.048E+05  2.890E+04  4.259E+02
1.841E-01  6.787E+05  2.833E+04  4.162E+02
1.884E-01  6.623E+05  2.760E+04  4.358E+02
1.928E-01  6.523E+05  2.694E+04  4.827E+02
1.973E-01  6.318E+05  2.794E+04  1.665E+02
2.019E-01  6.196E+05  2.728E+04  3.796E+02
2.066E-01  6.071E+05  2.687E+04  2.650E+02
2.114E-01  5.967E+05  2.522E+04  4.661E+02
2.163E-01  5.766E+05  2.295E+04  2.530E+02
2.213E-01  5.710E+05  2.428E+04  2.473E+02
2.265E-01  5.524E+05  2.339E+04  2.900E+02
2.318E-01  5.369E+05  2.458E+04  3.306E+02
2.372E-01  5.274E+05  2.301E+04  2.539E+02
2.427E-01  5.171E+05  2.375E+04  4.736E+02
2.483E-01  5.007E+05  2.197E+04  2.204E+02
2.541E-01  4.989E+05  2.124E+04  4.092E+02
2.600E-01  4.821E+05  2.075E+04  3.368E+02
2.661E-01  4.697E+05  2.108E+04  2.263E+02
2.723E-01  4.607E+05  2.068E+04  4.020E+02
2.786E-01  4.461E+05  1.984E+04  2.946E+02
2.851E-01  4.385E+05  2.019E+04  4.031E+02
2.918E-01  4.293E+05  2.000E+04  2.626E+02
2.986E-01  4.230E+05  1.927E+04  3.483E+02
3.055E-01  4.117E+05  1.904E+04  1.254E+02
3.126E-01  4.054E+05  1.735E+04  3.151E+02
3.199E-01  3.890E+05  1.704E+04  2.566E+02
3.274E-01  3.783E+05  1.804E+04  2.173E+02
3.350E-01  3.757E+05  1.778E+04  2.451E+02
3.428E-01  3.691E+05  1.712E+04  2.555E+02
3.508E-01  3.608E+05  1.607E+04  2.496E+02
3.589E-01  3.511E+05  1.642E+04  1.525E+02
3.673E-01  3.386E+05  1.603E+04  1.937E+02
3.759E-01  3.349E+05  1.664E+04  1.747E+02
3.846E-01  3.251E+05  1.614E+04  1.992E+02
3.936E-01  3.171E+05  1.448E+04  1.530E+02
4.027E-01  3.132E+05  1.564E+04  1.359E+02
4.121E-01  3.025E+05  1.437E+04  1.992E+02
4.217E-01  3.001E+05  1.515E+04  1.298E+02
4.315E-01  2.899E+05  1.461E+04  1.776E+02
4.416E-01  2.838E+05  1.460E+04  2.107E+02
4.519E-01  2.782E+05  1.435E+04  1.211E+02
4.624E-01  2.717E+05  1.320E+04  2.722E+02
4.732E-01  2.663E+05  1.324E+04  1.388E+02
4.842E-01  2.594E+05  1.296E+04  1.356E+02
4.955E-01  2.517E+05  1.339E+04  1.878E+02
5.070E-01  2.471E+05  1.281E+04  2.159E+02
5.188E-01  2.413E+05  1.247E+04  5.274E+01
5.309E-01  2.326E+05  1.207E+04  1.546E+02
5.433E-01  2.320E+05  1.195E+04  2.015E+02
5.559E-01  2.254E+05  1.177E+04  2.264E+02
5.689E-01  2.222E+05  1.157E+04  1.443E+02
5.821E-01  2.144E+05  1.125E+04  1.880E+02
5.957E-01  2.115E+05  1.164E+04  1.470E+02
6.096E-01  2.059E+05  1.073E+04  1.347E+02
6.238E-01  2.023E+05  1.049E+04  9.651E+01
6.383E-01  1.964E+05  1.023E+04  1.115E+02
6.532E-01  1.946E+05  9.778E+03  2.514E+02
6.684E-01  1.867E+05  1.039E+04  1.228E+02
6.840E-01  1.839E+05  9.843E+03  9.602E+01
6.999E-01  1.770E+05  9.493E+03  9.384E+01
7.162E-01  1.751E+05  9.499E+03  1.681E+02
7.329E-01  1.700E+05  9.843E+03  1.792E+02
7.499E-01  1.687E+05  9.495E+03  7.298E+01
7.674E-01  1.616E+05  9.414E+03  1.284E+02
7.853E-01  1.590E+05  8.984E+03  1.185E+02
8.036E-01  1.565E+05  9.515E+03  1.226E+02
8.223E-01  1.520E+05  8.493E+03  1.198E+02
8.415E-01  1.472E+05  8.566E+03  1.106E+02
8.611E-01  1.443E+05  8.536E+03  1.525E+02
8.811E-01  1.416E+05  8.181E+03  1.180E+02
9.016E-01  1.388E+05  8.340E+03  1.093E+02
9.226E-01  1.361E+05  7.658E+03  9.491E+01
9.441E-01  1.337E+05  7.669E+03  1.275E+02
9.661E-01  1.302E+05  7.557E+03  1.190E+02
9.886E-01  1.272E+05  7.302E+03  7.197E+01
1.012E+00  1.233E+05  7.574E+03  8.656E+01
1.035E+00  1.206E+05  7.227E+03  1.375E+02
1.059E+00  1.163E+05  7.331E+03  9.816E+01
1.084E+00  1.155E+05  6.851E+03  1.111E+02
1.109E+00  1.124E+05  6.646E+03  9.375E+01
1.135E+00  1.113E+05  6.963E+03  9.643E+01
1.162E+00  1.070E+05  6.748E+03  1.084E+02
1.189E+00  1.063E+05  6.442E+03  5.526E+01
1.216E+00  1.028E+05  6.304E+03  9.000E+01
1.245E+00  1.009E+05  6.403E+03  7.476E+01
1.274E+00  9.793E+04  6.205E+03  1.160E+02
1.303E+00  9.648E+04  5.997E+03  9.659E+01
1.334E+00  9.297E+04  6.090E+03  7.797E+01
1.365E+00  9.267E+04  5.811E+03  1.243E+02
1.396E+00  9.008E+04  5.730E+03  7.055E+01
1.429E+00  8.742E+04  5.711E+03  6.511E+01
1.462E+00  8.515E+04  5.334E+03  1.011E+02
1.496E+00  8.396E+04  5.465E+03  8.047E+01
1.531E+00  8.149E+04  5.590E+03  7.506E+01
1.567E+00  7.992E+04  5.428E+03  8.383E+01
1.603E+00  7.909E+04  5.410E+03  5.120E+01
1.641E+00  7.662E+04  5.391E+03  3.669E+01
1.679E+00  7.412E+04  5.239E+03  5.216E+01
1.718E+00  7.273E+04  5.005E+03  7.646E+01
1.758E+00  7.082E+04  4.769E+03  4.981E+01
1.799E+00  6.969E+04  4.670E+03  3.955E+01
1.841E+00  6.784E+04  4.760E+03  4.162E+01
1.884E+00  6.669E+04  4.590E+03  6.392E+01
1.928E+00  6.497E+04  4.480E+03  7.666E+01
1.973E+00  6.316E+04  4.434E+03  5.827E+01
2.019E+00  6.198E+04  4.224E+03  5.152E+01
2.066E+00  6.023E+04  4.430E+03  7.154E+01
2.114E+00  5.904E+04  4.130E+03  6.991E+01
2.163E+00  5.822E+04  4.271E+03  7.338E+01
2.213E+00  5.692E+04  4.043E+03  6.182E+01
2.265E+00  5.525E+04  4.152E+03  3.383E+01
2.318E+00  5.377E+04  3.958E+03  6.612E+01
2.372E+00  5.270E+04  3.939E+03  4.154E+01
2.427E+00  5.154E+04  3.827E+03  3.608E+01
2.483E+00  5.029E+04  3.769E+03  3.967E+01
2.541E+00  4.923E+04  3.661E+03  4.523E+01
2.600E+00  4.806E+04  3.719E+03  6.104E+01
2.661E+00  4.701E+04  3.373E+03  4.114E+01
2.723E+00  4.614E+04  3.389E+03  5.427E+01
2.786E+00  4.455E+04  3.414E+03  5.500E+01
2.851E+00  4.394E+04  3.302E+03  4.415E+01
2.918E+00  4.258E+04  3.221E+03  3.564E+01
2.986E+00  4.216E+04  3.239E+03  3.666E+01
3.055E+00  4.135E+04  3.189E+03  5.374E+01
3.126E+00  4.022E+04  3.165E+03  5.777E+01
3.199E+00  3.929E+04  3.055E+03  2.395E+01
3.274E+00  3.818E+04  3.026E+03  4.180E+01
3.350E+00  3.691E+04  2.923E+03  4.248E+01
3.428E+00  3.635E+04  2.923E+03  3.832E+01
3.508E+00  3.615E+04  2.894E+03  3.121E+01
3.589E+00  3.515E+04  2.679E+03  3.964E+01
3.673E+00  3.377E+04  2.824E+03  3.576E+01
3.759E+00  3.327E+04  2.646E+03  2.330E+01
3.846E+00  3.254E+04  2.711E+03  2.846E+01
3.936E+00  3.162E+04  2.656E+03  4.033E+01
4.027E+00  3.116E+04  2.530E+03  3.261E+01
4.121E+00  3.010E+04  2.444E+03  4.250E+01
4.217E+00  2.950E+04  2.414E+03  4.802E+01
4.315E+00  2.914E+04  2.420E+03  3.044E+01
4.416E+00  2.820E+04  2.392E+03  2.851E+01
4.519E+00  2.741E+04  2.336E+03  3.028E+01
4.624E+00  2.715E+04  2.245E+03  3.787E+01
4.732E+00  2.634E+04  2.231E+03  4.280E+01
4.842E+00  2.563E+04  2.210E+03  3.165E+01
4.955E+00  2.517E+04  2.109E+03  2.761E+01
5.070E+00  2.463E+04  2.129E+03  3.022E+01
5.188E+00  2.436E+04  2.032E+03  2.743E+01
5.309E+00  2.358E+04  2.041E+03  4.020E+01
5.433E+00  2.323E+04  1.969E+03  3.324E+01
5.559E+00  2.256E+04  1.981E+03  2.461E+01
5.689E+00  2.204E+04  1.882E+03  3.271E+01
5.821E+00  2.142E+04  1.946E+03  2.726E+01
5.957E+00  2.084E+04  1.877E+03  2.756E+01
6.096E+00  2.036E+04  1.791E+03  3.232E+01
6.238E+00  1.992E+04  1.824E+03  2.632E+01
6.383E+00  1.966E+04  1.813E+03  2.915E+01
6.532E+00  1.925E+04  1.710E+03  2.598E+01
6.684E+00  1.864E+04  1.683E+03  2.129E+01
6.840E+00  1.847E+04  1.655E+03  1.840E+01
6.999E+00  1.787E+04  1.576E+03  2.502E+01
7.162E+00  1.721E+04  1.615E+03  2.216E+01
7.329E+00  1.697E+04  1.560E+03  2.166E+01
7.499E+00  1.666E+04  1.556E+03  1.897E+01
7.674E+00  1.630E+04  1.538E+03  1.783E+01
7.853E+00  1.571E+04  1.489E+03  1.812E+01
8.036E+00  1.555E+04  1.506E+03  1.975E+01
8.223E+00  1.530E+04  1.427E+03  2.263E+01
8.415E+00  1.473E+04  1.428E+03  1.821E+01
8.611E+00  1.445E+04  1.387E+03  2.161E+01
8.811E+00  1.405E+04  1.348E+03  1.739E+01
9.016E+00  1.385E+04  1.234E+03  1.335E+01
9.226E+00  1.359E+04  1.272E+03  1.542E+01
9.441E+00  1.315E+04  1.209E+03  1.623E+01
9.661E+00  1.293E+04  1.239E+03  1.586E+01
9.886E+00  1.256E+04  1.175E+03  1.716E+01
1.012E+01  1.223E+04  1.173E+03  1.298E+01
1.035E+01  1.217E+04  1.182E+03  1.639E+01
1.059E+01  1.179E+04  1.161E+03  1.808E+01
1.084E+01  1.152E+04  1.079E+03  2.272E+01
1.109E+01  1.121E+04  1.049E+03  1.480E+01
1.135E+01  1.089E+04  1.098E+03  1.157E+01
1.162E+01  1.084E+04  9.862E+02  1.414E+01
1.189E+01  1.050E+04  9.757E+02  1.566E+01
1.216E+01  1.029E+04  9.945E+02  1.755E+01
1.245E+01  1.006E+04  9.789E+02  1.231E+01
1.274E+01  9.842E+03  9.583E+02  1.547E+01
1.303E+01  9.591E+03  9.210E+02  7.559E+00
1.334E+01  9.382E+03  9.295E+02  9.439E+00
1.365E+01  9.138E+03  9.080E+02  1.444E+01
1.396E+01  8.930E+03  8.948E+02  1.607E+01
1.429E+01  8.818E+03  8.817E+02  1.341E+01
1.462E+01  8.563E+03  8.702E+02  1.085E+01
1.496E+01  8.335E+03  8.354E+02  1.353E+01
1.531E+01  8.063E+03  8.185E+02  6.791E+00
1.567E+01  7.860E+03  7.926E+02  9.780E+00
1.603E+01  7.738E+03  7.667E+02  1.229E+01
1.641E+01  7.668E+03  7.546E+02  8.673E+00
1.679E+01  7.479E+03  7.335E+02  8.802E+00
1.718E+01  7.228E+03  7.098E+02  1.147E+01
1.758E+01  7.131E+03  6.740E+02  1.090E+01
1.799E+01  6.921E+03  7.125E+02  8.518E+00
1.841E+01  6.784E+03  6.903E+02  1.308E+01
1.884E+01  6.549E+03  6.793E+02  7.844E+00
1.928E+01  6.450E+03  6.553E+02  8.518E+00
1.973E+01  6.235E+03  6.340E+02  7.769E+00
2.019E+01  6.123E+03  6.583E+02  9.219E+00
2.066E+01  5.974E+03  6.060E+02  5.299E+00
2.114E+01  5.895E+03  6.101E+02  7.509E+00
2.163E+01  5.709E+03  5.769E+02  8.604E+00
2.213E+01  5.622E+03  5.712E+02  8.160E+00
2.265E+01  5.395E+03  5.539E+02  7.250E+00
2.318E+01  5.335E+03  5.597E+02  8.265E+00
2.372E+01  5.283E+03  5.396E+02  8.077E+00
2.427E+01  5.081E+03  5.433E+02  9.021E+00
2.483E+01  5.026E+03  4.877E+02  5.730E+00
2.541E+01  4.892E+03  4.960E+02  6.246E+00
2.600E+01  4.803E+03  4.809E+02  7.577E+00
2.661E+01  4.664E+03  4.883E+02  5.965E+00
2.723E+01  4.545E+03  4.681E+02  4.422E+00
2.786E+01  4.541E+03  4.640E+02  7.464E+00
2.851E+01  4.353E+03  4.505E+02  5.183E+00
2.918E+01  4.245E+03  4.566E+02  7.879E+00
2.986E+01  4.195E+03  4.341E+02  6.049E+00
3.055E+01  4.047E+03  4.142E+02  5.733E+00
3.126E+01  3.951E+03  4.140E+02  8.228E+00
3.199E+01  3.893E+03  4.087E+02  5.132E+00
3.274E+01  3.809E+03  3.966E+02  5.852E+00
3.350E+01  3.720E+03  3.789E+02  5.718E+00
3.428E+01  3.624E+03  3.821E+02  4.471E+00
3.508E+01  3.519E+03  3.804E+02  4.525E+00
3.589E+01  3.456E+03  3.618E+02  5.794E+00
3.673E+01  3.396E+03  3.469E+02  5.662E+00
3.759E+01  3.301E+03  3.342E+02  3.932E+00
3.846E+01  3.238E+03  3.353E+02  4.838E+00
3.936E+01  3.148E+03  3.268E+02  5.840E+00
4.027E+01  3.107E+03  3.184E+02  3.397E+00
4.121E+01  2.964E+03  3.195E+02  5.046E+00
4.217E+01  2.956E+03  3.073E+02  3.504E+00
4.315E+01  2.852E+03  2.987E+02  4.566E+00
4.416E+01  2.820E+03  3.004E+02  4.586E+00
4.519E+01  2.720E+03  2.885E+02  3.755E+00
4.624E+01  2.713E+03  2.805E+02  3.432E+00
4.732E+01  2.609E+03  2.702E+02  2.776E+00
4.842E+01  2.550E+03  2.654E+02  2.939E+00
4.955E+01  2.524E+03  2.639E+02  3.203E+00
5.070E+01  2.415E+03  2.665E+02  3.238E+00
5.188E+01  2.391E+03  2.469E+02  2.637E+00
5.309E+01  2.332E+03  2.329E+02  2.989E+00
5.433E+01  2.280E+03  2.373E+02  3.022E+00
5.559E+01  2.214E+03  2.363E+02  3.643E+00
5.689E+01  2.163E+03  2.360E+02  2.694E+00
5.821E+01  2.125E+03  2.169E+02  2.820E+00
5.957E+01  2.069E+03  2.224E+02  3.216E+00
6.096E+01  2.049E+03  2.180E+02  3.412E+00
6.238E+01  1.985E+03  2.103E+02  3.071E+00
6.383E+01  1.962E+03  2.046E+02  2.058E+00
6.532E+01  1.912E+03  1.922E+02  3.603E+00
6.684E+01  1.860E+03  1.927E+02  1.965E+00
6.840E+01  1.814E+03  1.909E+02  2.161E+00
6.999E+01  1.765E+03  1.855E+02  2.346E+00
7.162E+01  1.696E+03  1.820E+02  1.987E+00
7.329E+01  1.689E+03  1.810E+02  2.539E+00
7.499E+01  1.625E+03  1.728E+02  2.919E+00
7.674E+01  1.611E+03  1.662E+02  2.211E+00
7.853E+01  1.576E+03  1.679E+02  1.394E+00
8.036E+01  1.535E+03  1.624E+02  2.384E+00
8.223E+01  1.496E+03  1.593E+02  1.531E+00
8.415E+01  1.474E+03  1.526E+02  2.277E+00
8.611E+01  1.441E+03  1.498E+02  2.288E+00
8.811E+01  1.401E+03  1.492E+02  2.050E+00
9.016E+01  1.370E+03  1.447E+02  2.367E+00
