# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  O16  Mg24  Mg25  Mg26  Cl35  Cl37
1.462274E-02  1.139888E+07  2.908157E+05  3.027262E+04  4.962725E+02  3.970180E+03  3.240659E+05  6.633698E+02
1.496335E-02  1.119179E+07  2.822560E+05  2.958353E+04  2.909856E+03  3.394832E+03  3.074748E+05  5.672359E+02
1.531189E-02  1.079675E+07  2.772529E+05  2.322289E+04  1.421810E+03  3.791492E+03  2.815183E+05  6.335132E+02
1.566855E-02  1.073300E+07  2.639946E+05  2.639946E+04  1.389445E+03  3.242039E+03  2.973413E+05  5.417061E+02
1.603352E-02  1.037509E+07  2.584380E+05  3.168241E+04  9.052118E+02  2.263029E+03  2.978147E+05  3.781253E+02
1.640699E-02  1.016900E+07  2.649397E+05  3.184584E+04  2.211517E+03  2.653820E+03  2.910356E+05  4.434217E+02
1.678915E-02  9.969939E+06  2.420518E+05  2.550188E+04  2.161176E+03  4.322353E+03  2.787918E+05  7.222137E+02
1.718022E-02  9.635707E+06  2.500587E+05  2.407659E+04  2.956775E+03  2.534378E+03  2.513259E+05  4.234644E+02
1.758040E-02  9.583548E+06  2.398260E+05  2.229020E+04  1.651126E+03  3.302252E+03  2.687207E+05  5.517670E+02
1.798990E-02  9.170564E+06  2.234755E+05  2.622005E+04  3.630469E+03  4.437240E+03  2.513091E+05  7.414099E+02
1.840894E-02  9.085597E+06  2.310031E+05  2.562321E+04  2.365220E+03  1.971016E+03  2.341567E+05  3.293333E+02
1.883774E-02  8.742412E+06  2.218925E+05  2.503996E+04  1.926150E+03  7.704602E+02  2.484734E+05  1.287347E+02
1.927653E-02  8.639784E+06  2.191004E+05  3.199920E+04  3.011690E+03  1.129384E+03  2.458292E+05  1.887065E+02
1.972553E-02  8.405594E+06  2.177920E+05  2.428086E+04  0.000000E+00  1.471568E+03  2.343471E+05  2.458814E+02
2.018500E-02  8.179026E+06  2.067226E+05  2.480672E+04  7.190353E+02  2.876141E+03  2.487862E+05  4.805689E+02
2.065517E-02  8.077872E+06  2.090437E+05  2.353938E+04  1.405336E+03  2.459338E+03  2.213404E+05  4.109261E+02
