# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  S32  S34  Co59
2.985580E-02  1.604731E+06  6.569692E+04  1.333591E+03  0.000000E+00  8.843816E+03
3.055124E-02  1.559904E+06  6.351556E+04  1.097461E+03  0.000000E+00  8.025184E+03
3.126287E-02  1.537601E+06  6.200274E+04  1.340600E+03  0.000000E+00  9.384198E+03
3.199107E-02  1.490417E+06  6.039487E+04  1.506597E+03  0.000000E+00  8.319033E+03
3.273624E-02  1.463276E+06  5.946821E+04  1.216250E+03  0.000000E+00  7.809603E+03
3.349876E-02  1.418896E+06  5.429863E+04  1.438789E+03  0.000000E+00  7.506723E+03
3.427905E-02  1.412029E+06  5.887019E+04  6.724528E+02  0.000000E+00  8.558490E+03
3.507751E-02  1.370687E+06  6.099509E+04  8.363675E+02  0.000000E+00  7.109124E+03
3.589457E-02  1.329620E+06  5.353508E+04  1.284375E+03  0.000000E+00  6.947301E+03
3.673066E-02  1.317440E+06  5.556843E+04  7.416730E+02  0.000000E+00  7.131471E+03
3.758623E-02  1.271952E+06  5.480531E+04  1.003556E+03  0.000000E+00  6.801880E+03
3.846173E-02  1.256075E+06  5.121498E+04  9.807123E+02  0.000000E+00  7.409827E+03
3.935762E-02  1.233180E+06  5.100757E+04  1.064876E+03  0.000000E+00  6.974939E+03
4.027437E-02  1.192570E+06  4.802538E+04  8.325093E+02  0.000000E+00  6.608043E+03
4.121248E-02  1.172288E+06  4.937287E+04  7.118642E+02  0.000000E+00  7.474574E+03
4.217245E-02  1.140783E+06  4.680799E+04  5.465902E+02  0.000000E+00  7.354122E+03
4.315477E-02  1.115836E+06  4.841326E+04  6.798251E+02  0.000000E+00  6.555456E+03
4.415997E-02  1.093189E+06  4.664689E+04  1.186340E+03  0.000000E+00  7.070586E+03
4.518859E-02  1.047158E+06  4.665166E+04  7.883482E+02  0.000000E+00  6.816893E+03
4.624117E-02  1.047567E+06  4.377703E+04  1.042310E+03  0.000000E+00  7.704032E+03
4.731826E-02  1.025050E+06  4.388770E+04  5.757216E+02  0.000000E+00  6.155792E+03
4.842045E-02  9.898589E+05  4.314836E+04  7.790075E+02  0.000000E+00  6.188782E+03
4.954830E-02  9.637743E+05  4.060134E+04  7.612751E+02  0.000000E+00  6.174787E+03
5.070243E-02  9.385710E+05  4.207430E+04  8.679375E+02  0.000000E+00  6.199553E+03
5.188344E-02  9.165603E+05  4.095502E+04  5.654539E+02  0.000000E+00  5.856486E+03
5.309196E-02  9.061170E+05  3.733879E+04  7.894037E+02  0.000000E+00  6.788871E+03
5.432863E-02  8.881913E+05  3.864887E+04  1.002865E+03  0.000000E+00  5.708616E+03
5.559411E-02  8.661266E+05  3.867377E+04  9.423433E+02  0.000000E+00  5.616366E+03
5.688906E-02  8.476635E+05  3.584115E+04  8.472215E+02  0.000000E+00  5.967386E+03
5.821418E-02  8.127816E+05  3.678917E+04  8.639336E+02  0.000000E+00  5.111607E+03
5.957016E-02  8.043061E+05  3.581104E+04  1.090513E+03  0.000000E+00  6.015410E+03
6.095773E-02  7.834195E+05  3.485837E+04  6.875418E+02  0.000000E+00  5.156564E+03
6.237762E-02  7.773784E+05  3.618136E+04  7.054860E+02  0.000000E+00  4.535267E+03
6.383058E-02  7.509176E+05  3.450419E+04  6.565974E+02  0.000000E+00  4.957310E+03
6.531738E-02  7.360062E+05  3.269214E+04  9.624771E+02  0.000000E+00  5.325706E+03
6.683882E-02  7.208830E+05  3.088200E+04  6.583979E+02  0.000000E+00  4.608785E+03
6.839570E-02  7.036158E+05  3.201735E+04  8.885198E+02  0.000000E+00  5.514951E+03
6.998884E-02  6.938573E+05  3.242631E+04  4.491179E+02  0.000000E+00  4.431297E+03
7.161909E-02  6.643989E+05  3.086893E+04  6.729720E+02  0.000000E+00  4.593765E+03
7.328731E-02  6.554229E+05  2.965158E+04  6.862469E+02  0.000000E+00  5.289820E+03
7.499439E-02  6.404478E+05  2.953549E+04  6.147405E+02  0.000000E+00  4.470840E+03
7.674123E-02  6.272621E+05  2.960046E+04  5.461339E+02  0.000000E+00  4.341764E+03
7.852877E-02  6.141580E+05  2.764578E+04  5.603875E+02  0.000000E+00  4.376359E+03
8.035794E-02  6.028380E+05  2.800744E+04  6.780200E+02  0.000000E+00  4.563596E+03
8.222971E-02  5.848089E+05  2.703862E+04  4.332295E+02  0.000000E+00  4.740041E+03
8.414509E-02  5.659434E+05  2.801700E+04  5.976960E+02  0.000000E+00  4.482720E+03
8.610508E-02  5.595347E+05  2.606505E+04  6.571022E+02  0.000000E+00  4.185984E+03
8.811073E-02  5.396632E+05  2.566200E+04  5.945784E+02  0.000000E+00  3.686386E+03
9.016309E-02  5.337937E+05  2.447358E+04  3.253847E+02  0.000000E+00  4.113793E+03
9.226326E-02  5.232329E+05  2.307612E+04  5.223925E+02  0.000000E+00  4.201853E+03
9.441234E-02  5.079267E+05  2.483700E+04  5.992843E+02  0.000000E+00  4.039620E+03
9.661149E-02  4.985340E+05  2.260148E+04  5.205715E+02  0.000000E+00  3.947667E+03
9.886186E-02  4.851087E+05  2.359197E+04  5.087218E+02  0.000000E+00  3.773020E+03
1.011646E-01  4.750812E+05  2.342781E+04  4.349992E+02  0.000000E+00  3.624993E+03
1.035211E-01  4.679512E+05  2.214555E+04  3.846119E+02  0.000000E+00  3.279323E+03
1.059324E-01  4.531056E+05  2.023694E+04  4.549849E+02  0.000000E+00  3.481623E+03
1.083999E-01  4.460200E+05  2.232807E+04  5.219548E+02  0.000000E+00  3.518362E+03
1.109248E-01  4.303321E+05  2.074300E+04  5.856401E+02  0.000000E+00  3.929456E+03
1.135086E-01  4.248197E+05  2.195083E+04  6.092325E+02  0.000000E+00  3.581549E+03
1.161526E-01  4.149872E+05  2.044085E+04  5.592820E+02  0.000000E+00  3.247444E+03
1.188581E-01  4.031079E+05  2.016950E+04  4.760284E+02  0.000000E+00  3.508506E+03
1.216267E-01  3.927088E+05  1.845264E+04  5.513395E+02  0.000000E+00  2.946220E+03
1.244597E-01  3.876422E+05  1.988470E+04  3.535806E+02  0.000000E+00  3.670503E+03
1.273587E-01  3.782260E+05  1.851065E+04  3.948939E+02  0.000000E+00  2.994612E+03
1.303253E-01  3.721250E+05  1.882895E+04  4.019843E+02  0.000000E+00  2.894287E+03
1.333610E-01  3.626644E+05  1.818036E+04  5.028276E+02  0.000000E+00  3.284093E+03
1.364674E-01  3.539946E+05  1.805828E+04  4.606705E+02  0.000000E+00  3.347539E+03
1.396461E-01  3.466870E+05  1.743714E+04  4.651905E+02  0.000000E+00  3.196309E+03
1.428989E-01  3.389127E+05  1.739217E+04  3.812786E+02  0.000000E+00  2.712944E+03
1.462274E-01  3.285756E+05  1.676699E+04  4.442535E+02  0.000000E+00  2.909144E+03
1.496335E-01  3.219506E+05  1.701553E+04  4.061319E+02  0.000000E+00  2.968964E+03
1.531189E-01  3.159907E+05  1.640923E+04  4.790018E+02  0.000000E+00  3.051926E+03
1.566855E-01  3.058421E+05  1.579498E+04  3.744787E+02  0.000000E+00  2.728345E+03
1.603352E-01  2.968676E+05  1.595823E+04  2.875357E+02  0.000000E+00  2.862287E+03
1.640699E-01  2.929710E+05  1.572270E+04  3.065352E+02  0.000000E+00  2.771589E+03
1.678915E-01  2.872383E+05  1.572678E+04  3.744470E+02  0.000000E+00  2.696019E+03
1.718022E-01  2.784069E+05  1.530780E+04  2.683440E+02  0.000000E+00  2.756624E+03
1.758040E-01  2.737622E+05  1.406537E+04  2.622357E+02  0.000000E+00  2.860753E+03
1.798990E-01  2.674374E+05  1.368696E+04  2.562665E+02  0.000000E+00  2.597610E+03
1.840894E-01  2.618734E+05  1.478694E+04  3.414997E+02  0.000000E+00  2.572631E+03
1.883774E-01  2.546888E+05  1.409437E+04  3.782231E+02  0.000000E+00  2.458450E+03
1.927653E-01  2.498806E+05  1.324087E+04  2.826458E+02  0.000000E+00  2.619909E+03
1.972553E-01  2.433427E+05  1.268450E+04  3.824473E+02  0.000000E+00  2.305308E+03
2.018500E-01  2.406170E+05  1.308096E+04  1.661075E+02  0.000000E+00  2.335886E+03
2.065517E-01  2.313557E+05  1.328033E+04  3.449436E+02  0.000000E+00  2.424750E+03
2.113629E-01  2.265058E+05  1.246248E+04  2.478615E+02  0.000000E+00  2.319984E+03
2.162862E-01  2.217278E+05  1.259542E+04  3.487961E+02  0.000000E+00  2.412506E+03
