# Er [keV]  dR/dEr H1 [1/keV/kg/Myr]  B10  B11  O16  Na23
9.226326E-03  5.443853E+07  9.105036E+04  6.349565E+05  2.254694E+06  2.012692E+05
9.441234E-03  5.325087E+07  7.024563E+04  6.017709E+05  2.198688E+06  2.154199E+05
9.661149E-03  5.234993E+07  8.008776E+04  6.223963E+05  2.194405E+06  2.082282E+05
9.886186E-03  5.168827E+07  8.050087E+04  5.679784E+05  2.133273E+06  1.923076E+05
1.011646E-02  4.973157E+07  6.774227E+04  6.664966E+05  2.023527E+06  1.944859E+05
1.035211E-02  4.851839E+07  5.979379E+04  5.893960E+05  2.154712E+06  1.900588E+05
1.059324E-02  4.772701E+07  7.304090E+04  5.885010E+05  1.936627E+06  1.752982E+05
1.083999E-02  4.734624E+07  4.690573E+04  5.139237E+05  1.963923E+06  1.692685E+05
1.109248E-02  4.542349E+07  5.580282E+04  5.580282E+05  1.895303E+06  1.594366E+05
1.135086E-02  4.454533E+07  6.816574E+04  5.316927E+05  1.797628E+06  1.538598E+05
1.161526E-02  4.362462E+07  6.090431E+04  4.929443E+05  1.745289E+06  1.427445E+05
1.188581E-02  4.270972E+07  4.277854E+04  5.059027E+05  1.660923E+06  1.376353E+05
1.216267E-02  4.167573E+07  4.907517E+04  4.725757E+05  1.735807E+06  1.563135E+05
1.244597E-02  4.057076E+07  6.039166E+04  4.511613E+05  1.664323E+06  1.278882E+05
1.273587E-02  3.929316E+07  5.207381E+04  4.582495E+05  1.657683E+06  1.267129E+05
1.303253E-02  3.861247E+07  5.597731E+04  4.105003E+05  1.662356E+06  1.441840E+05
1.333610E-02  3.811315E+07  6.299146E+04  4.674629E+05  1.616228E+06  1.359289E+05
1.364674E-02  3.747886E+07  6.479747E+04  4.001244E+05  1.592398E+06  1.490342E+05
1.396461E-02  3.610649E+07  5.224106E+04  4.036810E+05  1.546652E+06  1.313942E+05
1.428989E-02  3.566208E+07  5.105191E+04  4.207915E+05  1.485147E+06  1.376855E+05
1.462274E-02  3.477775E+07  4.988983E+04  3.991186E+05  1.498207E+06  1.436222E+05
1.496335E-02  3.344095E+07  4.284460E+04  4.181042E+05  1.430123E+06  1.388756E+05
1.531189E-02  3.334532E+07  4.186934E+04  3.854866E+05  1.381688E+06  1.299393E+05
1.566855E-02  3.204309E+07  3.950537E+04  3.992864E+05  1.306499E+06  1.608433E+05
1.603352E-02  3.149845E+07  3.584854E+04  3.612429E+05  1.347078E+06  1.158183E+05
1.640699E-02  3.115335E+07  4.446436E+04  3.570623E+05  1.278687E+06  1.266560E+05
1.678915E-02  3.017955E+07  4.476896E+04  4.042374E+05  1.298300E+06  1.119224E+05
1.718022E-02  2.957364E+07  3.860285E+04  3.487124E+05  1.227571E+06  1.196688E+05
1.758040E-02  2.880364E+07  2.640690E+04  3.596368E+05  1.184538E+06  1.094000E+05
1.798990E-02  2.783709E+07  3.932313E+04  3.317889E+05  1.166177E+06  1.081386E+05
1.840894E-02  2.746523E+07  3.362452E+04  3.158303E+05  1.134828E+06  8.886481E+04
1.883774E-02  2.693980E+07  3.990038E+04  3.285913E+05  1.173540E+06  1.032716E+05
1.927653E-02  2.600202E+07  4.243262E+04  3.268458E+05  1.133066E+06  8.715889E+04
1.972553E-02  2.581584E+07  3.362167E+04  2.801806E+05  1.062445E+06  1.064686E+05
2.018500E-02  2.519535E+07  3.942762E+04  3.143258E+05  1.052498E+06  9.418821E+04
2.065517E-02  2.443453E+07  3.103817E+04  3.050303E+05  1.023189E+06  1.070282E+05
