# Er [keV]  dR/dEr H1 [1/keV/decay]  C12  C13  O16  Na23
7.161909E-03  1.171166E+08  5.302101E+06  3.579046E+04  3.579046E+06  3.936950E+05
7.328731E-03  1.153950E+08  5.381272E+06  4.996538E+04  3.527556E+06  4.596815E+05
7.499439E-03  1.122166E+08  4.755850E+06  6.347644E+04  3.520501E+06  5.078115E+05
7.674123E-03  1.104161E+08  4.757342E+06  1.002048E+05  3.411735E+06  4.151341E+05
7.852877E-03  1.059350E+08  4.942823E+06  5.595649E+04  3.576552E+06  4.150106E+05
8.035794E-03  1.053965E+08  4.766514E+06  5.923966E+04  3.189828E+06  3.964500E+05
8.222971E-03  1.029350E+08  4.283949E+06  4.007852E+04  3.170657E+06  3.518004E+05
8.414509E-03  9.944740E+07  4.164675E+06  7.833245E+04  3.285611E+06  4.003659E+05
8.610508E-03  9.754093E+07  4.269755E+06  2.126372E+04  3.057723E+06  4.295271E+05
8.811073E-03  9.474711E+07  4.172563E+06  4.571533E+04  3.025524E+06  4.363736E+05
9.016309E-03  9.395907E+07  4.280651E+06  4.873606E+04  2.989145E+06  3.289684E+05
9.226326E-03  9.002636E+07  4.147491E+06  7.540893E+04  2.936980E+06  3.095735E+05
9.441234E-03  8.912128E+07  4.014297E+06  1.939274E+04  2.831340E+06  2.986482E+05
9.661149E-03  8.636490E+07  3.896389E+06  5.685393E+04  2.998097E+06  2.842696E+05
9.886186E-03  8.541389E+07  3.652129E+06  4.815180E+04  2.852068E+06  2.926148E+05
1.011646E-02  8.291220E+07  3.645010E+06  5.791475E+04  2.544629E+06  2.968131E+05
1.035211E-02  8.051552E+07  3.636322E+06  5.305917E+04  2.840434E+06  2.759077E+05
1.059324E-02  7.804327E+07  3.494784E+06  5.876492E+04  2.433559E+06  2.834543E+05
1.083999E-02  7.677350E+07  3.509819E+06  2.026845E+04  2.344384E+06  3.040267E+05
1.109248E-02  7.399925E+07  3.251662E+06  2.640944E+04  2.393355E+06  2.607932E+05
1.135086E-02  7.378267E+07  3.374434E+06  3.871243E+04  2.296938E+06  3.322817E+05
1.161526E-02  7.205273E+07  3.259791E+06  6.305205E+04  2.285637E+06  2.837342E+05
1.188581E-02  7.048039E+07  3.056194E+06  4.313177E+04  2.403056E+06  2.279822E+05
1.216267E-02  6.802403E+07  3.076948E+06  5.118210E+04  2.113520E+06  2.589212E+05
