# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Na23  S32  S34
1.927653E-02  7.629538E+06  2.843182E+05  3.136844E+04  1.668534E+03  0.000000E+00
1.972553E-02  7.458477E+06  2.670846E+05  3.587217E+04  4.239439E+03  0.000000E+00
2.018500E-02  7.332043E+06  2.635545E+05  3.601169E+04  3.186875E+03  0.000000E+00
2.065517E-02  7.196600E+06  2.612925E+05  3.020903E+04  4.671499E+03  0.000000E+00
2.113629E-02  6.955786E+06  2.477362E+05  2.830401E+04  2.130409E+03  0.000000E+00
2.162862E-02  6.784070E+06  2.426918E+05  3.063390E+04  2.081915E+03  0.000000E+00
2.213241E-02  6.665685E+06  2.400740E+05  2.703012E+04  4.069050E+03  0.000000E+00
2.264794E-02  6.550880E+06  2.178514E+05  2.158632E+04  3.692397E+03  0.000000E+00
2.317548E-02  6.435349E+06  2.189989E+05  2.886678E+04  3.053217E+03  0.000000E+00
2.371531E-02  6.160834E+06  2.259488E+05  2.142852E+04  1.627482E+03  0.000000E+00
2.426771E-02  6.106745E+06  2.125883E+05  2.279625E+04  3.445945E+03  0.000000E+00
2.483298E-02  5.931991E+06  2.105986E+05  2.227735E+04  2.590389E+03  0.000000E+00
2.541141E-02  5.772914E+06  2.065643E+05  2.708624E+04  2.784567E+03  0.000000E+00
2.600332E-02  5.702362E+06  1.927092E+05  2.374850E+04  1.979042E+03  0.000000E+00
2.660901E-02  5.545001E+06  1.933993E+05  2.538366E+04  3.142739E+03  0.000000E+00
2.722882E-02  5.426105E+06  1.956119E+05  2.480586E+04  1.653724E+03  0.000000E+00
2.786306E-02  5.254802E+06  1.946223E+05  2.170166E+04  3.232161E+03  0.000000E+00
2.851207E-02  5.195427E+06  1.811676E+05  2.278696E+04  2.481748E+03  0.000000E+00
2.917620E-02  5.067243E+06  1.902724E+05  2.138635E+04  1.322867E+03  0.000000E+00
2.985580E-02  4.913331E+06  1.842176E+05  2.176138E+04  2.800969E+03  0.000000E+00
3.055124E-02  4.886975E+06  1.758132E+05  2.168714E+04  2.105547E+03  0.000000E+00
3.126287E-02  4.750631E+06  1.703709E+05  2.098772E+04  2.674905E+03  0.000000E+00
3.199107E-02  4.603887E+06  1.707154E+05  1.950459E+04  2.412939E+03  0.000000E+00
3.273624E-02  4.564328E+06  1.640784E+05  1.729210E+04  2.751016E+03  0.000000E+00
3.349876E-02  4.402631E+06  1.616877E+05  1.958688E+04  2.496367E+03  0.000000E+00
3.427905E-02  4.296785E+06  1.508763E+05  1.745211E+04  1.125943E+03  0.000000E+00
3.507751E-02  4.241523E+06  1.516598E+05  1.687147E+04  2.750783E+03  0.000000E+00
3.589457E-02  4.093899E+06  1.442650E+05  1.863796E+04  1.612900E+03  0.000000E+00
3.673066E-02  4.025755E+06  1.499128E+05  2.101582E+04  1.926450E+03  0.000000E+00
3.758623E-02  3.949349E+06  1.454735E+05  1.694339E+04  2.053744E+03  0.000000E+00
3.846173E-02  3.837374E+06  1.506919E+05  1.337997E+04  1.170747E+03  0.000000E+00
3.935762E-02  3.704915E+06  1.420315E+05  1.683458E+04  1.961310E+03  0.000000E+00
4.027437E-02  3.658275E+06  1.348055E+05  1.693054E+04  1.118055E+03  0.000000E+00
4.121248E-02  3.585304E+06  1.286152E+05  1.482821E+04  2.653468E+03  0.000000E+00
4.217245E-02  3.488897E+06  1.395681E+05  1.418561E+04  2.898135E+03  0.000000E+00
4.315477E-02  3.413803E+06  1.419064E+05  1.609862E+04  2.086859E+03  0.000000E+00
4.415997E-02  3.320654E+06  1.238180E+05  1.471250E+04  2.622029E+03  0.000000E+00
4.518859E-02  3.250903E+06  1.255549E+05  1.252702E+04  2.277640E+03  0.000000E+00
4.624117E-02  3.179825E+06  1.246445E+05  1.279832E+04  3.060467E+03  0.000000E+00
4.731826E-02  3.131370E+06  1.178648E+05  1.495401E+04  1.495401E+03  0.000000E+00
4.842045E-02  3.038968E+06  1.084065E+05  1.169089E+04  1.461362E+03  0.000000E+00
4.954830E-02  3.003677E+06  1.117810E+05  1.194408E+04  2.336886E+03  0.000000E+00
5.070243E-02  2.875295E+06  1.058111E+05  1.344841E+04  1.522461E+03  0.000000E+00
5.188344E-02  2.820632E+06  1.061301E+05  1.289432E+04  1.983741E+03  0.000000E+00
5.309196E-02  2.791442E+06  1.098936E+05  1.296429E+04  1.696262E+03  0.000000E+00
5.432863E-02  2.721744E+06  9.969585E+04  1.136675E+04  1.184036E+03  0.000000E+00
5.559411E-02  2.654699E+06  9.823646E+04  1.087659E+04  1.619918E+03  0.000000E+00
5.688906E-02  2.605012E+06  9.622647E+04  1.142053E+04  9.045967E+02  0.000000E+00
5.821418E-02  2.542400E+06  9.889812E+04  1.171307E+04  1.768011E+03  0.000000E+00
5.957016E-02  2.493275E+06  1.020462E+05  1.241832E+04  1.619781E+03  0.000000E+00
6.095773E-02  2.418581E+06  9.529119E+04  1.139695E+04  1.688438E+03  0.000000E+00
6.237762E-02  2.350740E+06  9.281272E+04  1.309691E+04  1.443753E+03  0.000000E+00
6.383058E-02  2.309727E+06  9.150627E+04  1.148867E+04  2.116334E+03  0.000000E+00
6.531738E-02  2.268969E+06  8.774911E+04  1.280290E+04  1.772709E+03  0.000000E+00
6.683882E-02  2.212317E+06  9.287361E+04  1.020166E+04  1.636115E+03  0.000000E+00
6.839570E-02  2.132238E+06  7.825072E+04  1.043970E+04  1.598873E+03  0.000000E+00
6.998884E-02  2.112011E+06  8.262752E+04  9.742510E+03  1.011015E+03  0.000000E+00
7.161909E-02  2.060972E+06  8.380051E+04  9.430925E+03  1.976003E+03  0.000000E+00
7.328731E-02  2.020553E+06  7.794315E+04  1.035731E+04  2.194346E+03  0.000000E+00
7.499439E-02  1.949599E+06  7.634050E+04  1.089353E+04  1.715517E+03  0.000000E+00
7.674123E-02  1.935146E+06  7.518954E+04  9.639685E+03  1.592644E+03  0.000000E+00
7.852877E-02  1.890114E+06  7.061099E+04  8.928767E+03  1.965967E+03  0.000000E+00
8.035794E-02  1.825716E+06  7.356657E+04  9.285879E+03  1.120709E+03  0.000000E+00
8.222971E-02  1.778369E+06  7.400416E+04  8.918049E+03  1.016971E+03  0.000000E+00
8.414509E-02  1.754706E+06  6.941461E+04  7.262541E+03  1.070269E+03  0.000000E+00
8.610508E-02  1.719845E+06  6.955281E+04  9.861408E+03  9.711993E+02  0.000000E+00
8.811073E-02  1.649157E+06  7.213100E+04  7.811758E+03  1.168113E+03  0.000000E+00
9.016309E-02  1.629097E+06  7.213004E+04  7.705286E+03  1.070179E+03  0.000000E+00
9.226326E-02  1.581277E+06  6.909373E+04  8.715153E+03  9.063759E+02  0.000000E+00
9.441234E-02  1.553595E+06  6.622642E+04  7.835430E+03  1.567086E+03  0.000000E+00
9.661149E-02  1.540337E+06  6.445259E+04  7.989990E+03  1.198499E+03  0.000000E+00
