# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Al27  Si28  Si29  Si30  K39  K41
4.518859E-03  2.071741E+07  5.632433E+06  4.620883E+05  5.125307E+05  3.152649E+04  1.441211E+04  1.149366E+06  1.261060E+04
4.624117E-03  2.025111E+07  5.499822E+06  4.612527E+05  5.175889E+05  3.785089E+04  1.232355E+04  1.160174E+06  1.672481E+04
4.731826E-03  1.991315E+07  5.479577E+06  3.956995E+05  4.937641E+05  3.526886E+04  2.236562E+04  1.105378E+06  1.376346E+04
4.842045E-03  1.919927E+07  5.417054E+06  4.043456E+05  5.001780E+05  2.605969E+04  2.521906E+04  1.103754E+06  1.429080E+04
4.954830E-03  1.902430E+07  5.230491E+06  3.680320E+05  4.567541E+05  2.957400E+04  1.889450E+04  1.067129E+06  1.067950E+04
5.070243E-03  1.849492E+07  5.231851E+06  3.452042E+05  4.567935E+05  3.452042E+04  1.846441E+04  1.046852E+06  8.028005E+03
5.188344E-03  1.807314E+07  5.009202E+06  3.483298E+05  4.401194E+05  3.059653E+04  1.255242E+04  1.030868E+06  1.647506E+04
5.309196E-03  1.758431E+07  4.753345E+06  3.695342E+05  4.745678E+05  2.760007E+04  9.966691E+03  1.005102E+06  1.150003E+04
5.432863E-03  1.715632E+07  4.769515E+06  3.686148E+05  4.218092E+05  3.596242E+04  1.348591E+04  9.822235E+05  1.423512E+04
5.559411E-03  1.685731E+07  4.713664E+06  3.360627E+05  4.341725E+05  3.367949E+04  1.903623E+04  9.049531E+05  1.391109E+04
5.688906E-03  1.640634E+07  4.595635E+06  3.219735E+05  3.928077E+05  2.074940E+04  1.788742E+04  9.258527E+05  1.144795E+04
5.821418E-03  1.608812E+07  4.463057E+06  3.489058E+05  4.237213E+05  3.216366E+04  1.957788E+04  9.082738E+05  1.398420E+04
5.957016E-03  1.559414E+07  4.309535E+06  3.252480E+05  3.737618E+05  3.279811E+04  1.981553E+04  9.087811E+05  1.093270E+04
6.095773E-03  1.523049E+07  4.180055E+06  3.185121E+05  3.779410E+05  2.470639E+04  1.669351E+04  8.934366E+05  1.335481E+04
6.237762E-03  1.499212E+07  4.110354E+06  3.327958E+05  3.693381E+05  2.544909E+04  1.435590E+04  8.744046E+05  1.109319E+04
6.383058E-03  1.455266E+07  4.051864E+06  2.990752E+05  3.896268E+05  1.976830E+04  1.402912E+04  8.513123E+05  1.147837E+04
6.531738E-03  1.427561E+07  4.033790E+06  2.779345E+05  3.508456E+05  2.118783E+04  1.620246E+04  8.219633E+05  9.970745E+03
6.683882E-03  1.409012E+07  3.945623E+06  3.166730E+05  3.787896E+05  2.375047E+04  1.217973E+04  7.831566E+05  7.307837E+03
6.839570E-03  1.377832E+07  3.762375E+06  2.814938E+05  3.481477E+05  2.380497E+04  1.904397E+04  7.927055E+05  8.926863E+03
6.998884E-03  1.345887E+07  3.674407E+06  2.925335E+05  3.594149E+05  2.326310E+04  8.723663E+03  7.513982E+05  9.305241E+03
7.161909E-03  1.323662E+07  3.662378E+06  2.841696E+05  3.222483E+05  2.443859E+04  8.525088E+03  7.632796E+05  1.477682E+04
